an_base,nm_grande_area_conhecimento,nm_area_conhecimento,nm_subarea_conhecimento,nm_especialidade,cd_area_avaliacao,nm_area_avaliacao,cd_entidade_capes,cd_entidade_emec,sg_entidade_ensino,nm_entidade_ensino,cs_status_juridico,ds_dependencia_administrativa,ds_organizacao_academica,nm_regiao,nm_municipio_programa_ies,nm_modalidade_programa,cd_programa_ies,nm_programa_ies,nm_programa_idioma,sg_uf_programa,nm_grau_programa,cd_conceito_programa,ano_inicio_programa,an_inicio_curso,in_rede,sg_entidade_ensino_rede,ds_situacao_programa,dt_situacao_programa,id_add_foto_programa_ies,id_add_foto_programa,ds_clientela_quadrienal_2017,ano_fonte,tipo_fonte,nm_area_basica,an_inicio_programa,ano_base
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,15001016,569,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,FEDERAL,PÚBLICA,UNIVERSIDADE,NORTE,BELÉM,ACADÊMICO,15001016053P9,CIÊNCIA POLÍTICA,PROGRAM IN CIENCIA POLITIC,PA,MESTRADO,3,2008,2008,NÃO,NA,EM FUNCIONAMENTO,18MAR2014:00:00:00,116183,52830,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,20002017,568,UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,ESTADUAL,PÚBLICA,NÃO INFORMADO,NORDESTE,SÃO LUÍS,ACADÊMICO,20002017007P8,CARTOGRAFIA SOCIAL E POLÍTICA DA AMAZÔNIA,POSTGRADUATE PROGRAM IN SOCIAL CARTOGRAPHY AND POLITICS OF THE AMAZON,MA,MESTRADO,3,2013,2013,NÃO,NA,EM FUNCIONAMENTO,20SEP2013:00:00:00,115097,51732,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,21001014,NI,FUFPI,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PIAUÍ,FEDERAL,PÚBLICA,NÃO INFORMADO,NORDESTE,TERESINA,ACADÊMICO,21001014014P0,CIÊNCIA POLÍTICA,GRADUATE PROGRAM IN POLITICAL SCIENCE AT FEDERAL UNIVERSITY OF PIAUI,PI,MESTRADO,3,2008,2008,NÃO,NA,EM FUNCIONAMENTO,08MAR2013:00:00:00,116435,53062,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,24004014,550,UEPB,UNIVERSIDADE ESTADUAL DA PARAIBA,ESTADUAL,PÚBLICA,UNIVERSIDADE,NORDESTE,JOÃO PESSOA,ACADÊMICO,24004014007P1,RELAÇOES INTERNACIONAIS,"GRADUATE PROGRAM IN INTERNATIONAL RELATIONS, STATE UNIVERSITY OF PARAIBA",PB,MESTRADO,4,2008,2008,NÃO,NA,EM FUNCIONAMENTO,16AUG2012:00:00:00,89441,28094,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,COMPORTAMENTO POLÍTICO,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,25001019,580,UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,RECIFE,ACADÊMICO,25001019033P6,CIÊNCIA POLÍTICA,POLITICAL SCIENCE,PE,MESTRADO/DOUTORADO,6,1982,1982/2002,NÃO,NA,EM FUNCIONAMENTO,29JAN2014:00:00:00,80690,21075,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,POLÍTICAS PÚBLICAS,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,28022017,4503,UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,FEDERAL,PÚBLICA,UNIVERSIDADE,NORDESTE,CRUZ DAS ALMAS,PROFISSIONAL,28022017008P0,GESTÃO DE POLÍTICAS PÚBLICAS E SEGURANÇA SOCIAL,MANAGEMENT OF PUBLIC POLICY AND SOCIAL SECURITY,BA,MESTRADO PROFISSIONAL,3,2011,2011,NÃO,NA,EM FUNCIONAMENTO,12FEB2014:00:00:00,113986,50787,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,31001017,586,UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,FEDERAL,PÚBLICA,UNIVERSIDADE,SUDESTE,RIO DE JANEIRO,ACADÊMICO,31001017137P3,ECONOMIA POLÍTICA INTERNACIONAL,INTERNATIONAL POLITICAL ECONOMY,RJ,MESTRADO/DOUTORADO,4,2009,2009/2009,NÃO,NA,EM FUNCIONAMENTO,09AUG2013:00:00:00,90287,28847,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,NÃO SE APLICA,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,31003010,572,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICA,NÃO INFORMADO,SUDESTE,NITERÓI,ACADÊMICO,31003010033P0,CIÊNCIA POLÍTICA,GRADUATE PROGRAM IN POLITICAL SCIENCE,RJ,MESTRADO/DOUTORADO,4,1994,1994/2006,NÃO,NA,EM FUNCIONAMENTO,07AUG2010:00:00:00,118473,54985,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,ESTADO E GOVERNO,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,31003010,572,UFF,UNIVERSIDADE FEDERAL FLUMINENSE,FEDERAL,PÚBLICA,NÃO INFORMADO,SUDESTE,NITERÓI,ACADÊMICO,31003010062P0,ESTUDOS ESTRATÉGICOS DA DEFESA E DA SEGURANÇA,STRATEGIC STUDIES AND DEFENSE GRADUATE PROGRAMME,RJ,MESTRADO,3,2008,2008,NÃO,NA,EM FUNCIONAMENTO,07AUG2010:00:00:00,80247,19776,AVALIAÇÃO,2013,prog,NA,NA,2013
2013,CIÊNCIAS HUMANAS,CIÊNCIA POLÍTICA,POLÍTICA INTERNACIONAL,NÃO SE APLICA,39,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,31004016,547,UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,ESTADUAL,PÚBLICA,UNIVERSIDADE,SUDESTE,RIO DE JANEIRO,ACADÊMICO,31004016057P9,RELAÇÕES INTERNACIONAIS,GRADUATE PROGRAM OF INTERNATIONAL RELATIONSHIP,RJ,MESTRADO/DOUTORADO,4,2009,2009/2015,NÃO,NA,EM FUNCIONAMENTO,15JAN2013:00:00:00,112558,49385,AVALIAÇÃO,2013,prog,NA,NA,2013
