"id_amostra","classe_cod1"
1,"CP"
2,"RI"
3,"CP"
4,"CP"
5,"CP"
6,"CP"
7,"RI"
8,"CP"
9,"PP"
10,"CP"
11,"PP"
12,"CP"
13,"CP"
14,"RI"
15,"CP"
16,"DEFESA"
17,"CP"
18,"CP"
19,"CP"
20,"CP"
21,"PP"
22,"CP"
23,"OUTROS"
24,"PP"
25,"CP"
26,"CP"
27,"CP"
28,"CP"
29,"DEFESA"
30,"RI"
31,"CP"
32,"RI"
33,"CP"
34,"RI"
35,"CP"
36,"CP"
37,"PP"
38,"CP"
39,"RI"
40,"PP"
41,"RI"
42,"OUTROS"
43,"DEFESA"
44,"RI"
45,"OUTROS"
46,"DEFESA"
47,"DEFESA"
48,"DEFESA"
49,"DEFESA"
50,"RI"
51,"PP"
52,"RI"
53,"DEFESA"
54,"RI"
55,"RI"
56,"OUTROS"
57,"OUTROS"
58,"OUTROS"
59,"DEFESA"
60,"OUTROS"
61,"DEFESA"
62,"DEFESA"
63,"DEFESA"
64,"RI"
65,"RI"
66,"OUTROS"
67,"DEFESA"
68,"RI"
69,"DEFESA"
70,"OUTROS"
71,"DEFESA"
72,"DEFESA"
73,"DEFESA"
74,"DEFESA"
75,"DEFESA"
76,"RI"
77,"OUTROS"
78,"RI"
79,"DEFESA"
80,"DEFESA"
81,"RI"
82,"SEGPUB"
83,"OUTROS"
84,"SEGPUB"
85,"CP"
86,"OUTROS"
87,"OUTROS"
88,"OUTROS"
89,"OUTROS"
90,"OUTROS"
91,"PP"
92,"CP"
93,"OUTROS"
94,"RI"
95,"OUTROS"
96,"PP"
97,"OUTROS"
98,"SEGPUB"
99,"PP"
100,"PP"
101,"PP"
102,"DEFESA"
103,"CP"
104,"OUTROS"
105,"OUTROS"
106,"OUTROS"
107,"CP"
108,"SEGPUB"
109,"OUTROS"
110,"OUTROS"
111,"PP"
112,"PP"
113,"PP"
114,"OUTROS"
115,"PP"
116,"PP"
117,"PP"
118,"OUTROS"
119,"PP"
120,"RI"
121,"PP"
122,"PP"
123,"PP"
124,"PP"
125,"PP"
126,"PP"
127,"PP"
128,"PP"
129,"OUTROS"
130,"PP"
131,"PP"
132,"PP"
133,"PP"
134,"OUTROS"
135,"PP"
136,"SEGPUB"
137,"PP"
138,"PP"
139,"PP"
140,"OUTROS"
141,"CP"
142,"RI"
143,"OUTROS"
144,"PP"
145,"PP"
146,"PP"
147,"OUTROS"
148,"CP"
149,"PP"
150,"PP"
151,"PP"
152,"PP"
153,"CP"
154,"PP"
155,"CP"
156,"PP"
157,"PP"
158,"PP"
159,"PP"
160,"SEGPUB"
161,"RI"
162,"RI"
163,"RI"
164,"RI"
165,"RI"
166,"DEFESA"
167,"CP"
168,"RI"
169,"RI"
170,"OUTROS"
171,"RI"
172,"RI"
173,"RI"
174,"RI"
175,"RI"
176,"RI"
177,"RI"
178,"RI"
179,"RI"
180,"RI"
181,"RI"
182,"PP"
183,"RI"
184,"RI"
185,"RI"
186,"RI"
187,"RI"
188,"RI"
189,"RI"
190,"RI"
191,"RI"
192,"RI"
193,"RI"
194,"RI"
195,"CP"
196,"RI"
197,"RI"
198,"RI"
199,"RI"
200,"RI"
201,"SEGPUB"
202,"SEGPUB"
203,"SEGPUB"
204,"SEGPUB"
205,"SEGPUB"
206,"SEGPUB"
207,"SEGPUB"
208,"SEGPUB"
209,"SEGPUB"
210,"SEGPUB"
211,"SEGPUB"
212,"SEGPUB"
213,"SEGPUB"
214,"SEGPUB"
215,"SEGPUB"
216,"SEGPUB"
217,"SEGPUB"
218,"SEGPUB"
219,"OUTROS"
220,"SEGPUB"
221,"SEGPUB"
222,"SEGPUB"
223,"SEGPUB"
224,"SEGPUB"
225,"SEGPUB"
226,"SEGPUB"
227,"SEGPUB"
228,"SEGPUB"
229,"SEGPUB"
230,"SEGPUB"
231,"SEGPUB"
232,"SEGPUB"
233,"SEGPUB"
234,"SEGPUB"
235,"SEGPUB"
236,"SEGPUB"
237,"SEGPUB"
238,"SEGPUB"
239,"SEGPUB"
240,"SEGPUB"
