periodico,ano,titulo,doi,e_resenha
RBCP_Revista_Brasileira_de_Ciencia_Politica,2020,"Ativismo Institucional no Poder Legislativo: confrontos políticos, assessores ativistas e frentes parlamentares",https://doi.org/10.1590/0103-335220203108,NA
Lua_Nova,2004,"Foucault, para além do poder disciplinar e do biopoder",https://doi.org/10.1590/s0102-64452004000300008,NA
Revista_de_Sociologia_e_Politica,2010,O Estado em Durkheim: elementos para um debate sobre sua sociologia política,https://doi.org/10.1590/s0104-44782010000300009,NA
Revista_de_Sociologia_e_Politica,2004,"A categoria ""pobreza"" nas formulações de política social do Banco Mundial",https://doi.org/10.1590/s0104-44782004000200006,NA
Opiniao_Publica,2011,As Conferências Públicas Nacionais e a formação da agenda de políticas públicas do Governo Federal (2003-2010),https://doi.org/10.1590/s0104-62762011000100008,NA
DADOS_Revista_de_Ciencias_Sociais,2002,"Incentivos Eleitorais, Partidos e Política Orçamentária",https://doi.org/10.1590/s0011-52582002000200005,NA
DADOS_Revista_de_Ciencias_Sociais,2020,O Que Há de Errado com o Igualitarismo de Fortuna?,https://doi.org/10.1590/001152582020208,NA
Lua_Nova,2001,Democracia integral e justa liberdade: O liberal-socialismo de Calogero,https://doi.org/10.1590/s0102-64452001000200005,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2009,Categorias desajustadas: uma crítica Ã teoria dual de sistemas de Nancy Fraser,NA,NA
DADOS_Revista_de_Ciencias_Sociais,1998,Novas e Velhas Verdades sobre a Organização Legislativa e as Democracias,https://doi.org/10.1590/s0011-52581998000400006,NA
DADOS_Revista_de_Ciencias_Sociais,2009,Razões da intolerância na Europa integrada,https://doi.org/10.1590/s0011-52582009000200003,NA
DADOS_Revista_de_Ciencias_Sociais,1996,O senhor e o escravo como tipos - limite de dominacao e estratificacao,NA,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2022,De volta aos holofotes: militares e política na crise brasileira contemporânea,https://doi.org/10.1590/0103-3352.2022.39.262782,NA
DADOS_Revista_de_Ciencias_Sociais,2004,O conceito de desenvolvimento do ISEB rediscutido,https://doi.org/10.1590/s0011-52582004000100002,NA
Lua_Nova,1996,Reforma do estado e condução política,https://doi.org/10.1590/s0102-64451996000100003,NA
Revista_de_Sociologia_e_Politica,2012,Oligarquia e processos de oligarquização: o aporte de Michels à análise política contemporânea,https://doi.org/10.1590/s0104-44782012000400004,NA
Lua_Nova,2023,A INTENSIFICAÇÃO DOS CONFLITOS DISTRIBUTIVOS NO BRASIL E O DESLOCAMENTO POLÍTICO EMPRESARIAL NO GOVERNO DILMA (2011-16),https://doi.org/10.1590/0102-167207/120,NA
Revista_de_Sociologia_e_Politica,2012,Causas estruturais e consequências dos regimes internacionais: regimes como variáveis intervenientes,https://doi.org/10.1590/s0104-44782012000200008,NA
Lua_Nova,2023,RICHARD MORSE E FERNANDO HENRIQUE CARDOSO ENTRE SÃO PAULO E A DEPENDÊNCIA,https://doi.org/10.1590/0102-108147/119,NA
Lua_Nova,1986,Os fantasmas,https://doi.org/10.1590/s0102-64451986000100009,NA
Revista_de_Sociologia_e_Politica,2013,Accountability e independência judiciais: uma análise da competência do Conselho Nacional de Justiça (CNJ),https://doi.org/10.1590/s0104-44782013000100004,NA
Revista_de_Sociologia_e_Politica,2009,História intelectual e teoria política,https://doi.org/10.1590/s0104-44782009000300020,NA
Revista_de_Sociologia_e_Politica,2017,Cooperação para autonomia? Explicando o paradoxo da política externa brasileira para a Unasul,https://doi.org/10.1590/1678-987317256106,NA
Revista_de_Sociologia_e_Politica,2017,Alianzas de los empresarios industriales en la crisis del neoliberalismo en Argentina,https://doi.org/10.1590/1678-987317256204,NA
Revista_de_Sociologia_e_Politica,2024,Descentralização fiscal brasileira: as prioridades orçamentárias sob a perspectiva de agenda-setting,https://doi.org/10.1590/1678-98732432e010,NA
Lua_Nova,2007,Uma teoria marxista do político? O debate Bobbio trent'anni doppo,https://doi.org/10.1590/s0102-64452007000100004,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2021,A Sociologia de Roberto Campos e a construção de uma ordem liberal no Brasil,https://doi.org/10.1590/0103-3352.2021.34.208572,NA
Lua_Nova,2025,"BRASIL, RACISMO, NACIONAL-DEPENDÊNCIA E QUASE-ESTAGNAÇÃO",https://doi.org/10.1590/0102-124029lcbp/124,NA
Lua_Nova,1989,Dez teses acerca dos movimentos sociais,https://doi.org/10.1590/s0102-64451989000200003,NA
DADOS_Revista_de_Ciencias_Sociais,2002,Governos de Coalizão nas Democracias Presidencialistas e Parlamentaristas,https://doi.org/10.1590/s0011-52582002000200001,NA
Lua_Nova,2010,O desenvolvimento político em Huntington e Fukuyama,https://doi.org/10.1590/s0102-64452010000200005,NA
DADOS_Revista_de_Ciencias_Sociais,1999,A universidade e a pós-modernidade: o panorama brasileiro,https://doi.org/10.1590/s0011-52581999000100008,NA
DADOS_Revista_de_Ciencias_Sociais,2008,From arrest to sentencing: A comparative analysis of the criminal justice system processing for rape crimes,NA,NA
DADOS_Revista_de_Ciencias_Sociais,2007,O melhor governo possível: Francesco Guicciardini e o método prudencial de análise da política,https://doi.org/10.1590/s0011-52582007000200004,NA
Revista_de_Sociologia_e_Politica,2013,Flávio Suplicy de Lacerda: genealogia de um integrante da elite paranaense,https://doi.org/10.1590/s0104-44782013000300009,NA
Revista_de_Sociologia_e_Politica,2018,Expandindo o conceito de competência política: conhecimento político e atitudes democráticas na América Latina,https://doi.org/10.1590/1678987318266802,NA
RBCP_Revista_Brasileira_de_Ciencia_Politica,2017,Seria a luta por reconhecimento uma aspiração à agência soberana?,https://doi.org/10.1590/0103-335220172205,NA
DADOS_Revista_de_Ciencias_Sociais,1994,Crise do sindicalismo na america latina,NA,NA
DADOS_Revista_de_Ciencias_Sociais,2024,Between Deinstitutionalization and Resilience: Institutional Participation in the Bolsonaro Administration,https://doi.org/10.1590/dados.2024.67.4.339x,NA
DADOS_Revista_de_Ciencias_Sociais,2017,¿Qué es una Buena Elección?: El Uso de los Informes de las Misiones de Observación Electoral para Evaluar los Procesos Electorales Latinoamericanos (2013-2016),https://doi.org/10.1590/001152582017143,NA
Revista_de_Sociologia_e_Politica,1998,A CRÍTICA E A POLÊMICA EM TORNO DO ISEB,NA,NA
