id_amostra,ano,titulo,resumo,programa,classe_auto,classe_cod1,classe_cod2
1,2016,"PERSUASÃO E TIPOS DE ARGUMENTO: UM ESTUDO DE CASO SOBRE OS TIPOS DE FALA, NAS REUNIÕES DO CONSELHO MUNICIPAL DE SAÚDE DE PELOTAS, A PARTIR DOS DEBATES DE 2011","ESTA DISSERTAÇÃO TEM O OBJETIVO DE ANALISAR AS PRÁTICAS POLÍTICAS DOS CONSELHEIROS DE SAÚDE DA CIDADE DE PELOTAS, A PARTIR DA ANÁLISE DAS REUNIÕES DE 2011. ESPECIFICAMENTE NOS DEDICAREMOS A INVESTIGAR OS TIPOS DE ARGUMENTOS EMERGENTES EM TRINTA E UMA REUNIÕES DO CONSELHO GESTOR DA SAÚDE, DO RECORTE ESCOLHIDO. A ANÁLISE DOS ARGUMENTOS ESTARÁ NORTEADA PELO REFERENCIAL DA TEORIA DO DISCURSO POLÍTICO NO TOCANTE DA VIDA DEMOCRÁTICA. PARA TANTO, UTILIZAMOS CONCEITOS DE AUTORES COMO: LACLAU, MOUFFE E NORVAL. COMO APORTE SECUNDÁRIO, RETORNAMOS A WITTGENSTEIN AFIM DE MELHOR COMPREENDER OS CONCEITOS DE ILUMINAÇÃO DE ASPECTO E MUDANÇA DE ASPECTO, CATEGORIAS INTERESSANTES PARA A DISCUSSÃO DOS TIPOS DE FALAS EM ARENAS POLÍTICAS QUANDO CONSIDERAMOS A ENTRADA DE CARACTERÍSTICAS NOVAS E TOTALMENTE FORA DO CONTEXTO PRÁTICO DO CONSELHO. IDENTIFICAMOS, PARA A ANÁLISE, OITO CATEGORIAS RETÓRICAS, PRESENTES NA PARTICIPAÇÃO DOS CONSELHEIROS. ESTAS, ESTÃO A LUZ DOS TEXTOS CLÁSSICO DE ARISTÓTELES E, TAMBÉM, PERELMAN E TYTECA. ASSIM, TRABALHAREMOS COM O ARGUMENTO TÉCNICO, O APELO À AUTORIDADE, O ARGUMENTO AD PERSONA, O APELO AO SENTIMENTO, A METÁFORA, A EXEMPLIFICAÇÃO. A PARTIR DA ANÁLISE PODEREMOS P...",CIÊNCIA POLÍTICA,CP,NA,NA
2,2024,"A EXPANSÃO DO TERRORISMO NA ÁFRICA OCIDENTAL: UMA AVALIAÇÃO CRITICA DA ATUAÇÃO DE CEDEAO NA LUTA CONTRA TERRORISMO, NO MALI E NA NIGÉRIA ENTRE 2007 A 2020","O TERRORISMO NA ÁFRICA OCIDENTAL GANHOU UMA DIMENSÃO GLOBAL NAS ÚLTIMAS DÉCADAS, DEVIDO À PRESENÇA DOS GRUPOS TERRORISTAS INTERNACIONAIS, PRINCIPALMENTE AL QAEDA E ESTADO ISLÂMICO (ISIS) E DAS SUAS RESPECTIVAS FILIAIS NA REGIÃO, ONDE A NIGÉRIA E O MALI DESTACARAM COMO PRINCIPAIS PONTOS DO TERRORISMO, NO SÉCULO XXI. O FENÔMENO É MUITO COMPLEXO NOS DOIS PAÍSES REFERIDOS. OS ATAQUES TERRORISTAS CEIFARAM E CONTINUAM CEIFANDO VIDAS DE MILHARES DE PESSOAS, FAZENDO VÁRIOS DESLOCADOS E IMPACTANDO, NEGATIVAMENTE, A PAZ SOCIAL. VALE SALIENTAR QUE O OBJETIVO GERAL DESSA PESQUISA É ANALISAR, DE UMA FORMA CRÍTICA, A ATUAÇÃO DA CEDEAO NA LUTA CONTRA O TERRORISMO NO MALI E NA NIGÉRIA, VISTO QUE OS DOIS PAÍSES, SOZINHOS, NÃO FORAM CAPAZES DE COMBATER OS GRUPOS TERRORISTAS. A CEDEAO, COMO PRINCIPAL ORGANIZAÇÃO REGIONAL, TEM-SE MOSTRADO PREOCUPADA COM A EXPANSÃO DE ATAQUES TERRORISTAS NOS DOIS PAÍSES. EM TERMOS METODOLÓGICOS, A PESQUISA SE BASEOU NUMA ABORDAGEM QUALITATIVA E SEGUIDA PELA TÉCNICA DE ANÁLISE CRÍTICA. PORTANTO, CONSTATOU-SE QUE A CEDEAO TEM ATUADO APENAS DIPLOMATICAMENTE PARA GARANTIR PAZ E SEGURANÇA NO DOIS PAÍSES. CONCLUI-SE QUE A ORGANIZAÇÃO FRACASSOU COM SUAS POLÍTICAS DE COMBAT...",CIÊNCIA POLÍTICA,CP,NA,NA
3,2005,Técnica e Política no Poder Legislativo de Minas Gerais: a tramitaçao de requerimentos de informações de autoria da Comissão de Direitos Humanos da Assembléia Legislativa (1999-2003),"Compete à Mesa da Assembléia Legislativa, por força de seu Regimento Interno,..apreciar os requerimentos que contêm pedido de informação a autoridades públicas, de..autoria das comissões legislativas e dos deputados...A Mesa aprecia esses requerimentos emitindo um parecer sobre eles, que..conclui pela rejeição ou pela aprovação da proposição...Na Legislatura 1999/2002, a Mesa rejeitou 78% dos requerimentos de autoria da..Comissão de Direitos Humanos...Em flagrante contraste, no ano de 2003 a Mesa aprovou 74% dos requerimentos..de mesma modalidade e de autoria da mesma comissão...Portanto, nosso problema é saber o porquê da rejeição e da aprovação dessas..proposições, no período que vai de 1999 a 2003...Recorremos a dados que nos permitiram analisar 413 processos. Processo é a..denominação genérica dada ao conjunto dos documentos composto durante a..tramitação do requerimento no procedimento legislativo...A dissertação é composta de três capítulos. No Capítulo I expusemos a..relevância do problema a ser pesquisado. No Capítulo li, que se divide em duas partes,..fizemos remissão aos dados empíricos que informaram nossa pesquisa: na Parte I,..fizemos uma análise comparativa entre o...",CIÊNCIA  POLÍTICA,CP,NA,NA
4,2010,Norteando o voto: o impacto do Programa Bolsa Familia no comportamento do Eleitor do Norte do Brasil.,RESUMO INCOMPLETO.AGUARDANDO O AUTOR.,CIÊNCIA POLÍTICA,CP,NA,NA
5,2005,Estratégias Retóricas na Construção dos Mundos de Natureza Ficcional da Política: Um Estudo Comparativo das Campanhas de Belo Horizonte e Salvador na Eleição Municipal de 2000.,"O presente trabalho tem por objetivo desenvolver um estudo comparativo das estratégias retóricas utilizadas pelos atores políticos na disputa eleitoral pelas prefeituras de Belo Horizonte e Salvador no ano de 2000. A análise concentra-se nos programas veiculados no Horário Gratuito de Propaganda Eleitoral (HGPE) na televisão, tendo dois eixos de investigação: um primeiro voltado para a identificação da dimensão pragmática, no confronto entre situação e oposição..O estudo parte do pressuposto de que a argumentação política tem uma natureza ficcional, ou seja, tratam-se de interpretações sobre o atual estado do mundo elaboradas pelos agentes políticos. A partir da análise das estratégias discursivas, são identificados pontos de convergência e de divergência dos candidatos à reeleição, Célio de Castro (PSB), de uma frente de centro-esquerda em Belo Horizonte, e Antônio Imbassahy (PFL), de uma frente de centro-direita, em Salvador, que obtiveram a vitória no pleito..Discute-se, a partir dos dois eixos, a questão ideológica  como esquerda e direita ainda podem ser considerados conceitos válidos na compreensão do processo político  e a questão pragmática a partir da Teoria da Esc...",CIÊNCIA POLÍTICA (CIÊNCIA POLÍTICA E SOCIOLOGIA),CP,NA,NA
6,2010,Do Local para o Nacional: o Orçamento Participativo e as novas práticas políticas petistas,"O objetivo central desta tese foi verificar em que medida o OP foi se transformando em uma estratégia política do PT, para se consolidar como uma opção de governo nacional, tendo em vista o crescimento do partido nas disputas eleitorais subseqüentes às experiências bem sucedidas de governos locais que adotaram reformas participativas. Tomamos como base a premissa de Panebianco (2005) acerca das mudanças institucionais para explicar como as mudanças programáticas sofridas ao longo da história petista impactaram na consolidação dessas políticas participativas. O objetivo secundário foi analisar se a implantação do OP, no desenho de políticas locais, contribui para a mudança das práticas políticas locais, verificadas, especialmente, por meio da introdução desse novo arranjo participativo nas relações entre Executivo e Legislativo Municipais. Para isso, comparamos o desenho institucional de três experiências de OPs que se assemelham em vários aspectos, mas se distinguem pelos resultados produzidos por essas instituições participativas. Essa análise se fundamenta teoricamente na abordagem institucional comparativa e nos pressupostos de Peter Evans (1995, 2004b) que parte das diferenç...",CIENCIA POLITICA,CP,NA,NA
7,2023,PERSPECTIVAS DA ECONOMIA POLÍTICA INTERNACIONAL SOBRE MUDANÇAS CLIMÁTICAS: UMA ANÁLISE EXPLORATÓRIA DOS DETERMINANTES DO FINANCIAMENTO CLIMÁTICO NA AMÉRICA LATINA E CARIBE,"ESTE TRABALHO TEM COMO OBJETIVO IDENTIFICAR OS FATORES DOMÉSTICOS QUE SE RELACIONAM COM A BUSCA POR FINANCIAMENTO DE ADAPTAÇÃO CLIMÁTICA JUNTO AO GREEN CLIMATE FUND (GCF). PARA TAL, OPTOU-SE POR TESTAR A CAPACIDADE DE RESPOSTA DO MODELO DE REGRESSÃO LOGÍSTICA NA IDENTIFICAÇÃO DE QUAIS FATORES SÃO PREPONDERANTES. ALÉM DISSO, BUSCOU-SE DESCREVER OS PROJETOS QUE SÃO FINANCIADOS NA AMÉRICA LATINA E NO CARIBE PELO GCF. TEORICAMENTE, O TRABALHO ESTÁ APOIADO NA ABORDAGEM DA ECONOMIA POLÍTICA INTERNACIONAL SOBRE A FORMAÇÃO DE POLÍTICAS CLIMÁTICAS, CONFORME APRESENTADO POR STEVE E TEYTELBOYM (2013). OS RESULTADOS OBTIDOS APONTARAM PARA GRANDE CONCENTRAÇÃO DE PROJETOS VOLTADOS PARA SEGURANÇA HÍDRICA E INFRAESTRUTURA, O QUE CONDIZ COM OS RISCOS CLIMÁTICOS MAIS RELEVANTES PARA A REGIÃO. RESTRIÇÕES NOS DADOS DISPONÍVEIS NÃO PERMITIRAM A CONSTRUÇÃO DE UM MODELO LOGIT ROBUSTO, QUE PERMITISSE A INTERPRETAÇÃO DE FORMA NÃO-VIESADA DAS PROBABILIDADES ASSOCIADAS AOS FATORES DOMÉSTICOS UTILIZADOS.",CIÊNCIA POLÍTICA,CP,NA,NA
8,2020,AS DISPOSIÇÕES INATAS DE PERSONALIDADE COMO DIMENSÃO ANALÍTICA DO COMPORTAMENTO POLÍTICO.,"A PERSONALIDADE É UM CONJUNTO DE CARACTERÍSTICAS INDIVIDUAIS RELATIVAMENTE ESTÁVEIS QUE MOLDAM, EM GRANDE PARTE, COMO OS INDIVÍDUOS REAGEM DIANTE DE DIFERENTES SITUAÇÕES E ESTÍMULOS, INCLUSIVE OS POLÍTICOS. PARA COMPREENDER DE QUE FORMA ELA PODE AUXILIAR NA EXPLICAÇÃO DE FENÔMENOS POLÍTICOS, ESTE TRABALHO TEVE COMO OBJETIVO DISCUTIR A UTILIZAÇÃO DA PERSONALIDADE COMO DIMENSÃO ANALÍTICA NOS ESTUDOS SOBRE COMPORTAMENTO POLÍTICO. PARA TANTO, REALIZOU-SE UMA REVISÃO BIBLIOGRÁFICA, NA QUAL FORAM ABORDADOS: (I) OS MODELOS TEÓRICOEXPLICATIVOS JÁ EXISTENTES (SOCIOLÓGICO, PSICOSSOCIOLÓGICO E DA TEORIA DA ESCOLHA RACIONAL), DISCUTINDO OS CONTORNOS TEÓRICO-EPISTEMOLÓGICOS, BEM AS CONTRIBUIÇÕES E LIMITAÇÕES ANALÍTICAS DESSES MODELOS PARA O ESTUDO DO COMPORTAMENTO POLÍTICO; (II) A DEFINIÇÃO DE PERSONALIDADE; E (III) OS RESULTADOS DE PESQUISAS QUE JÁ A UTILIZARAM COMO DIMENSÃO ANALÍTICA DO COMPORTAMENTO POLÍTICO. VERIFICOU-SE QUE OS MODELOS TEÓRICO-EXPLICATIVOS SOCIOLÓGICO, PSICOSSOCIOLÓGICO E DA TEORIA DA ESCOLHA RACIONAL CONTRIBUEM PARA A COMPREENSÃO DE FATORES INDIVIDUAIS E SOCIAIS, MAS SÃO INSUFICIENTES PARA EXPLICAR OS PROCESSOS PSICOLÓGICOS ASSOCIADOS AO COMPORTAMENTO POLÍTICO. POR OUTR...",CIÊNCIA POLÍTICA,CP,NA,NA
9,2004,INOVAÇÃO TECNOLÓGICA NA PERIFERIA.Políticas de Patentes no Setor Fármaco: um Estudo de Caso do Laboratório Farmacêutico do Estado de Pernambuco. 1995-2003.,"Na sociedade do conhecimento aplicado emerge a questão das patentes de fármacos, envolvendo de um lado as indústrias farmacêuticas multinacionais, lideradas pelos EE.UU.A, e de outro lado, um país da periferia, o Brasil. Identifica-se, nesse contexto, que ainda há uma carência notável em estudos que se proponham investigar a relação entre as patentes e o desenvolvimento tecnológico no Brasil. Portanto, como contribuição científica, propõe-se o presente trabalho ao estudo das patentes, dentro do setor fármaco brasileiro, vetor estratégico para uma política pública de C,T&I frente ao cenário da globalização. Assim, para a realização desse objetivo partimos da leitura do estado da arte da C,T&I nacional, que se soma ao aparato teórico de autores neoschumpeterianos, na produção de uma análise do SNI, a qual procura adequar, a utilização da estratégia de inovação necessária, ao desenvolvimento tecnológico do Brasil. A aplicação da estratégia de inovação adequada depende do aproveitamento das mudanças geradas no ambiente externo (desenvolvimento tecnológico global). Essa configuração significará uma oportunidade tecnológica de desenvolvimento, chamada pelos neoschumpeterianos de ?jane...",CIÊNCIA POLÍTICA,CP,NA,NA
10,2016,PFL: DO PDS AO PSD,"ESTE TRABALHO ABORDA A TRAJETÓRIA DO PFL (PARTIDO DA FRENTE LIBERAL), DESDE A SUA FUNDAÇÃO EM 1985 ATÉ 2010, QUANDO JÁ SOB NOVA DENOMINAÇÃO  DEM  DEIXOU DE CONTAR COM SEUS TRÊS PRINCIPAIS LÍDERES: JORGE BORNHAUSEN, MARCO MACIEL E ANTÔNIO CARLOS MAGALHÃES. A TESE BUSCA EXPLICAR AS RAZÕES DO SUCESSO DO PARTIDO, ATÉ 2002, E DE SUA DECADÊNCIA A PARTIR DE ENTÃO. COMO PRINCIPAL HIPÓTESE, ARGUMENTA-SE QUE A CONEXÃO COM O GOVERNO FEDERAL FOI A CAUSA PRINCIPAL TANTO DO SUCESSO QUANTO DA DECADÊNCIA DA LEGENDA, DESENCADEADA PELA PASSAGEM DO PFL PARA A OPOSIÇÃO APÓS A VITÓRIA DO PARTIDO DOS TRABALHADORES NA ELEIÇÃO PRESIDENCIAL DE 2002. A ANÁLISE DA INSERÇÃO DO PFL NO PRESIDENCIALISMO DE COALIZÃO E A NARRATIVA DA ATUAÇÃO DOS TRÊS PRINCIPAIS LÍDERES DO PARTIDO JUNTO ÀS ALTAS ESFERAS DO GOVERNO FEDERAL FORAM OS PRINCIPAIS SUBSÍDIOS PARA A CONSTRUÇÃO INDUTIVA DA COMPROVAÇÃO DA HIPÓTESE ACIMA FORMULADA.",CIÊNCIA POLÍTICA,CP,NA,NA
