associacao,area,ano,edicao,local,participantes,trabalhos,trabalhos_aprovados,gt,fonte
ANPEC,Economia,2001,29º,NA,NA,NA,108,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2002,30º,NA,NA,NA,116,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2003,31º,NA,NA,NA,150,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2004,32º,NA,NA,NA,158,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2005,33º,NA,NA,NA,174,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2006,34º,NA,NA,NA,183,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2007,35º,NA,NA,829,177,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2008,36º,NA,NA,672,210,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2009,37º,NA,NA,624,233,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2010,38º,NA,NA,618,165,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2011,39º,NA,NA,626,237,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2012,40º,NA,NA,794,243,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2013,41º,NA,NA,703,241,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2014,42º,NA,NA,780,240,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2015,43º,NA,NA,958,239,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2016,44º,NA,NA,638,240,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2017,45º,NA,NA,748,240,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2018,46º,NA,NA,NA,240,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2019,47º,NA,NA,NA,240,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2020,48º,NA,NA,NA,270,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2021,49º,NA,NA,NA,264,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2022,50º,NA,NA,NA,308,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2023,51º,NA,NA,NA,320,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2024,52º,NA,NA,NA,321,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2025,53º,NA,NA,NA,303,NA,Contagem das listas oficiais (en.anpec.org.br)
