ano,edicao,local,participantes,trabalhos,gt,fonte,associacao,area,trabalhos_metric
1995,I,Aracaju (SE),23,114,10,Teixeira 2019 (Rev. Tamoios),ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
1997,II,Rio de Janeiro (RJ),NA,93,5,Teixeira 2019; Inaba 2009,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
1999,III,São Paulo (SP),NA,NA,NA,Teixeira 2019 (encontro administrativo),ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2002,IV,São Paulo (SP),NA,NA,NA,Teixeira 2019; Inaba 2009,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2003,V,Florianópolis (SC),NA,364,5,Teixeira 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2005,VI,Fortaleza (CE),567,408,8,Teixeira 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2007,VII,Niterói (RJ),1033,696,19,Teixeira 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2009,VIII,Curitiba (PR),634,613,22,Teixeira 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2011,IX,Goiânia (GO),NA,856,30,Teixeira 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2013,X,Campinas (SP),1455,903,31,Teixeira 2019; Barros 2024; FAPESP,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2015,XI,Presidente Prudente (SP),973,989,41,Teixeira 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2017,XII,Porto Alegre (RS),NA,NA,49,Barros 2024 (sem dados); dissertação UFU,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2019,XIII,São Paulo (SP),3000,1642,55,IGU 2019; Barros 2024,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2021,XIV,João Pessoa (PB) on-line,2535,1451,72,Barros 2024; Anais Realize,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2023,XV,Palmas (TO),1695,2074,75,Barros 2024; Anais Realize,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
2025,XVI,Macapá (AP),3000,NA,63,Amapá Digital; Unifap,ANPEGE,Geografia,produções/aprovados ou submetidos (ver fonte)
