associacao,area,ano,edicao,local,participantes,trabalhos,trabalhos_aprovados,gt,fonte
ANPOCS,Ciências Sociais (guarda-chuva),1977,1º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1978,2º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1979,3º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1980,4º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1981,5º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1982,6º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1983,7º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1984,8º,NA,NA,NA,NA,35,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1985,9º,NA,NA,NA,NA,363,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1986,10º,NA,NA,NA,NA,356,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1987,11º,NA,NA,NA,NA,346,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1988,12º,NA,NA,NA,NA,319,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1989,13º,NA,NA,NA,NA,336,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1990,14º,NA,NA,NA,NA,267,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1991,15º,NA,NA,NA,NA,323,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1992,16º,NA,NA,NA,NA,330,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1993,17º,NA,NA,NA,NA,262,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1994,18º,NA,NA,NA,NA,457,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1995,19º,NA,NA,NA,NA,474,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1996,20º,NA,NA,NA,NA,497,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1997,21º,NA,NA,NA,NA,288,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1998,22º,NA,NA,NA,NA,446,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1999,23º,NA,NA,NA,NA,465,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),2000,24º,NA,NA,NA,NA,499,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),2001,25º,NA,774,NA,NA,NA,inscritos=presentes;relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2002,26º,NA,1063,NA,NA,NA,;relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2003,27º,NA,1161,NA,NA,NA,Quadro5 diz 542;relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2004,28º,NA,1320,NA,NA,NA,Quadro5 diz 592;relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2005,29º,NA,1282,2065,324,NA,relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2006,30º,NA,1461,1755,588,NA,relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2007,31º,NA,1634,1659,602,35,relatorio_gestao_2007_2008
ANPOCS,Ciências Sociais (guarda-chuva),2008,32º,NA,1641,2141,807,41,relatorio_gestao_2007_2008
ANPOCS,Ciências Sociais (guarda-chuva),2009,33º,NA,1602,2078,692,41,relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2010,34º,NA,1487,1731,627,37,relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2011,35º,NA,1352,2218,464,NA,relatorio_estatistico_2017
ANPOCS,Ciências Sociais (guarda-chuva),2012,36º,NA,1377,2000,756,NA,relatorio_estatistico_2017
ANPOCS,Ciências Sociais (guarda-chuva),2013,37º,NA,1208,1996,523,37,relatorio_estatistico_2017
ANPOCS,Ciências Sociais (guarda-chuva),2014,38º,NA,1241,2234,745,NA,relatorio_estatistico_2017
ANPOCS,Ciências Sociais (guarda-chuva),2015,39º,NA,1277,1937,772,42,relatorio_estatistico_2015
ANPOCS,Ciências Sociais (guarda-chuva),2016,40º,NA,1374,1982,880,NA,relatorio_estatistico_2017
ANPOCS,Ciências Sociais (guarda-chuva),2017,41º,NA,1206,1976,807,35,relatorio_estatistico_2017
ANPOCS,Ciências Sociais (guarda-chuva),2018,42º,NA,NA,NA,NA,NA,";GTs (bienio 2017-2018, sem contagem publicada);edital_42"
ANPOCS,Ciências Sociais (guarda-chuva),2019,43º,NA,NA,NA,NA,NA,;STs (sem contagem publicada);edital_43
ANPOCS,Ciências Sociais (guarda-chuva),2020,44º,NA,NA,NA,NA,NA,contagem derivada do hub oficial;hub_44
ANPOCS,Ciências Sociais (guarda-chuva),2021,45º,NA,NA,NA,NA,NA,contagem derivada do hub oficial;hub_45
ANPOCS,Ciências Sociais (guarda-chuva),2022,46º,NA,NA,NA,NA,NA,contagem derivada dos hubs oficiais;hub_46
ANPOCS,Ciências Sociais (guarda-chuva),2023,47º,NA,NA,NA,NA,NA,contagem derivada dos hubs oficiais;hub_47
ANPOCS,Ciências Sociais (guarda-chuva),2024,48º,NA,1193,NA,NA,NA,noticia IFCH/Unicamp;ifch_unicamp
ANPOCS,Ciências Sociais (guarda-chuva),2025,49º,Campinas (SP) Unicamp,1200,NA,NA,68,IFCH/Unicamp ~1.200 previstos (pré-evento); 68 GTs + 29 SPGs (contagem dos hubs); balanço final não publicado
ANPOCS,Ciências Sociais (guarda-chuva),2026,50º,Campinas (SP) Unicamp — híbrido (setembro-outubro de 2026),NA,NA,NA,NA,Edital e site oficial (encontro2026.anpocs.org.br); ainda não realizado
