associacao,area,ano,edicao,local,participantes,trabalhos,trabalhos_aprovados,gt,fonte
ANPEGE,Geografia,1995,I,Aracaju (SE),23,114,NA,10,Teixeira 2019 (Rev. Tamoios)
ANPEGE,Geografia,1997,II,Rio de Janeiro (RJ),NA,93,NA,5,Teixeira 2019; Inaba 2009
ANPEGE,Geografia,1999,III,São Paulo (SP),NA,NA,NA,NA,Teixeira 2019 (encontro administrativo)
ANPEGE,Geografia,2002,IV,São Paulo (SP),NA,NA,NA,NA,Teixeira 2019; Inaba 2009
ANPEGE,Geografia,2003,V,Florianópolis (SC),NA,364,NA,5,Teixeira 2019; Barros 2024
ANPEGE,Geografia,2005,VI,Fortaleza (CE),567,408,NA,8,Teixeira 2019; Barros 2024
ANPEGE,Geografia,2007,VII,Niterói (RJ),1033,696,NA,19,Teixeira 2019; Barros 2024
ANPEGE,Geografia,2009,VIII,Curitiba (PR),634,613,NA,22,Teixeira 2019; Barros 2024
ANPEGE,Geografia,2011,IX,Goiânia (GO),NA,856,NA,30,Teixeira 2019; Barros 2024
ANPEGE,Geografia,2013,X,Campinas (SP),1455,903,NA,31,Teixeira 2019; Barros 2024; FAPESP
ANPEGE,Geografia,2015,XI,Presidente Prudente (SP),973,989,NA,41,Teixeira 2019; Barros 2024
ANPEGE,Geografia,2017,XII,Porto Alegre (RS),NA,NA,NA,49,Barros 2024 (sem dados); dissertação UFU
ANPEGE,Geografia,2019,XIII,São Paulo (SP),3000,1642,NA,55,IGU 2019; Barros 2024
ANPEGE,Geografia,2021,XIV,João Pessoa (PB) on-line,2535,1451,NA,72,Barros 2024; Anais Realize
ANPEGE,Geografia,2023,XV,Palmas (TO),1695,2074,NA,75,Barros 2024; Anais Realize
ANPEGE,Geografia,2025,XVI,Macapá (AP),3000,NA,NA,63,Amapá Digital; Unifap
ANPEC,Economia,2001,29º,NA,NA,NA,108,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2002,30º,NA,NA,NA,116,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2003,31º,NA,NA,NA,150,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2004,32º,NA,NA,NA,158,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2005,33º,NA,NA,NA,174,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2006,34º,NA,NA,NA,183,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2007,35º,NA,NA,829,177,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2008,36º,NA,NA,672,210,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2009,37º,NA,NA,624,233,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2010,38º,NA,NA,618,165,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2011,39º,NA,NA,626,237,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2012,40º,NA,NA,794,243,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2013,41º,NA,NA,703,241,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2014,42º,NA,NA,780,240,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2015,43º,NA,NA,958,239,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2016,44º,NA,NA,638,240,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2017,45º,NA,NA,748,240,NA,"Rocha, Pereda & Matsunaga 2021 (submetidos) + contagem oficial (aprovados)"
ANPEC,Economia,2018,46º,NA,NA,NA,240,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2019,47º,NA,NA,NA,240,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2020,48º,NA,NA,NA,270,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2021,49º,NA,NA,NA,264,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2022,50º,NA,NA,NA,308,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2023,51º,NA,NA,NA,320,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2024,52º,NA,NA,NA,321,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPEC,Economia,2025,53º,NA,NA,NA,303,NA,Contagem das listas oficiais (en.anpec.org.br)
ANPOCS,Ciências Sociais (guarda-chuva),1977,1º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1978,2º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1979,3º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1980,4º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1981,5º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1982,6º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1983,7º,NA,NA,NA,NA,NA,participantes 1977-83 agregados (294 no periodo);relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1984,8º,NA,NA,NA,NA,35,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1985,9º,NA,NA,NA,NA,363,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1986,10º,NA,NA,NA,NA,356,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1987,11º,NA,NA,NA,NA,346,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1988,12º,NA,NA,NA,NA,319,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1989,13º,NA,NA,NA,NA,336,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1990,14º,NA,NA,NA,NA,267,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1991,15º,NA,NA,NA,NA,323,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1992,16º,NA,NA,NA,NA,330,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1993,17º,NA,NA,NA,NA,262,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1994,18º,NA,NA,NA,NA,457,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1995,19º,NA,NA,NA,NA,474,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1996,20º,NA,NA,NA,NA,497,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1997,21º,NA,NA,NA,NA,288,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1998,22º,NA,NA,NA,NA,446,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),1999,23º,NA,NA,NA,NA,465,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),2000,24º,NA,NA,NA,NA,499,;relatorio_gestao_2007_2008_Quadro5
ANPOCS,Ciências Sociais (guarda-chuva),2001,25º,NA,774,NA,NA,NA,inscritos=presentes;relatorio_estatistico_2010
ANPOCS,Ciências Sociais (guarda-chuva),2002,26º,NA,1063,NA,NA,NA,;relatorio_estatistico_2010
