ano,area_nome,registros
1987,Antropologia / Arqueologia,36
1987,Ciência Política / RI,26
1987,Economia,107
1987,Geografia,42
1987,História,50
1987,Não identificado,231
1987,Sociologia,90
1988,Antropologia / Arqueologia,36
1988,Ciência Política / RI,24
1988,Economia,96
1988,Geografia,23
1988,História,93
1988,Não identificado,208
1988,Sociologia,98
1989,Antropologia / Arqueologia,35
1989,Ciência Política / RI,23
1989,Economia,116
1989,Geografia,37
1989,História,98
1989,Não identificado,288
1989,Sociologia,96
1990,Antropologia / Arqueologia,41
1990,Ciência Política / RI,31
1990,Economia,156
1990,Geografia,61
1990,História,129
1990,Não identificado,335
1990,Sociologia,132
1991,Antropologia / Arqueologia,76
1991,Ciência Política / RI,57
1991,Economia,173
1991,Geografia,93
1991,História,148
1991,Não identificado,392
1991,Sociologia,152
1992,Antropologia / Arqueologia,95
1992,Ciência Política / RI,80
1992,Economia,227
1992,Geografia,73
1992,História,229
1992,Não identificado,523
1992,Sociologia,219
1993,Antropologia / Arqueologia,69
1993,Ciência Política / RI,38
1993,Economia,209
1993,Geografia,91
1993,História,215
1993,Não identificado,528
1993,Sociologia,198
1994,Antropologia / Arqueologia,71
1994,Ciência Política / RI,62
1994,Economia,231
1994,Geografia,92
1994,História,222
1994,Não identificado,577
1994,Sociologia,228
1995,Antropologia / Arqueologia,81
1995,Ciência Política / RI,74
1995,Economia,223
1995,Geografia,129
1995,História,338
1995,Não identificado,760
1995,Sociologia,245
1996,Antropologia / Arqueologia,103
1996,Ciência Política / RI,91
1996,Economia,213
1996,Geografia,147
1996,História,372
1996,Não identificado,412
1996,Sociologia,304
1997,Antropologia / Arqueologia,101
1997,Ciência Política / RI,118
1997,Economia,265
1997,Geografia,160
1997,História,385
1997,Não identificado,469
1997,Sociologia,327
1998,Antropologia / Arqueologia,113
1998,Ciência Política / RI,111
1998,Economia,266
1998,Geografia,167
1998,História,399
1998,Não identificado,538
1998,Sociologia,329
1999,Antropologia / Arqueologia,124
1999,Ciência Política / RI,108
1999,Economia,343
1999,Geografia,221
1999,História,422
1999,Não identificado,695
1999,Sociologia,398
2000,Antropologia / Arqueologia,137
2000,Ciência Política / RI,115
2000,Economia,444
2000,Geografia,273
2000,História,490
2000,Não identificado,913
2000,Sociologia,412
2001,Antropologia / Arqueologia,136
2001,Ciência Política / RI,129
2001,Economia,475
2001,Geografia,355
2001,História,579
2001,Não identificado,867
2001,Sociologia,414
2002,Antropologia / Arqueologia,151
2002,Ciência Política / RI,115
2002,Economia,571
2002,Geografia,447
2002,História,747
2002,Não identificado,1165
2002,Sociologia,593
2003,Antropologia / Arqueologia,161
2003,Ciência Política / RI,183
2003,Economia,722
2003,Geografia,397
2003,História,622
2003,Não identificado,1477
2003,Sociologia,632
2004,Antropologia / Arqueologia,176
2004,Ciência Política / RI,212
2004,Economia,605
2004,Geografia,441
2004,História,633
2004,Não identificado,1504
2004,Sociologia,628
2005,Antropologia / Arqueologia,196
2005,Ciência Política / RI,276
2005,Economia,631
2005,Geografia,529
2005,História,730
2005,Não identificado,1675
2005,Sociologia,698
2006,Antropologia / Arqueologia,228
2006,Ciência Política / RI,279
2006,Economia,712
2006,Geografia,588
2006,História,837
2006,Não identificado,1722
2006,Sociologia,708
2007,Antropologia / Arqueologia,208
2007,Ciência Política / RI,225
2007,Economia,713
2007,Geografia,617
2007,História,862
2007,Não identificado,1797
2007,Sociologia,754
2008,Antropologia / Arqueologia,222
2008,Ciência Política / RI,232
2008,Economia,802
2008,Geografia,731
2008,História,1034
2008,Não identificado,2005
2008,Sociologia,795
2009,Antropologia / Arqueologia,247
2009,Ciência Política / RI,282
2009,Economia,945
2009,Geografia,735
2009,História,1103
2009,Não identificado,2020
2009,Sociologia,852
2010,Antropologia / Arqueologia,273
2010,Ciência Política / RI,305
2010,Economia,924
2010,Geografia,796
2010,História,1088
2010,Não identificado,2073
2010,Sociologia,892
2011,Antropologia / Arqueologia,247
2011,Ciência Política / RI,373
2011,Economia,957
2011,Geografia,911
2011,História,1178
2011,Não identificado,2382
2011,Sociologia,845
2012,Antropologia / Arqueologia,354
2012,Ciência Política / RI,415
2012,Economia,1010
2012,Geografia,931
2012,História,1203
2012,Não identificado,2522
2012,Sociologia,967
2013,Antropologia / Arqueologia,370
2013,Ciência Política / RI,481
2013,Economia,971
2013,Geografia,1042
2013,História,1299
2013,Não identificado,3138
2013,Sociologia,1011
2014,Antropologia / Arqueologia,398
2014,Ciência Política / RI,467
2014,Economia,1040
2014,Geografia,1044
2014,História,1342
2014,Não identificado,3363
2014,Sociologia,1054
2015,Antropologia / Arqueologia,452
2015,Ciência Política / RI,541
2015,Economia,1032
