ano,area_nome,programas_ativos
2013,Geografia,52
2013,Economia,142
2013,Ciência Política / RI,32
2013,Sociologia,63
2013,Antropologia / Arqueologia,136
2013,História,208
2014,Geografia,56
2014,Economia,155
2014,Ciência Política / RI,37
2014,Sociologia,69
2014,Antropologia / Arqueologia,140
2014,História,214
2015,Geografia,62
2015,Economia,163
2015,Ciência Política / RI,40
2015,Sociologia,69
2015,Antropologia / Arqueologia,146
2015,História,218
2016,Geografia,64
2016,Economia,170
2016,Ciência Política / RI,43
2016,Sociologia,71
2016,Antropologia / Arqueologia,154
2016,História,223
2017,Geografia,65
2017,Economia,176
2017,Ciência Política / RI,48
2017,Sociologia,71
2017,Antropologia / Arqueologia,155
2017,História,224
2018,Geografia,65
2018,Economia,176
2018,Ciência Política / RI,50
2018,Sociologia,72
2018,Antropologia / Arqueologia,153
2018,História,224
2019,Geografia,76
2019,Economia,183
2019,Ciência Política / RI,58
2019,Sociologia,81
2019,Antropologia / Arqueologia,160
2019,História,224
2020,Geografia,76
2020,Economia,185
2020,Ciência Política / RI,59
2020,Sociologia,80
2020,Antropologia / Arqueologia,156
2020,História,218
2021,Geografia,78
2021,Economia,189
2021,Ciência Política / RI,61
2021,Sociologia,82
2021,Antropologia / Arqueologia,158
2021,História,217
2022,Geografia,77
2022,Economia,191
2022,Ciência Política / RI,60
2022,Sociologia,81
2022,Antropologia / Arqueologia,156
2022,História,216
2023,Geografia,77
2023,Economia,190
2023,Ciência Política / RI,60
2023,Sociologia,81
2023,Antropologia / Arqueologia,153
2023,História,216
2024,Geografia,80
2024,Economia,192
2024,Ciência Política / RI,64
2024,Sociologia,80
2024,Antropologia / Arqueologia,155
2024,História,215
