area_nome,janela,titulos_inicio,titulos_fim,cagr
Geografia,1995-2004,129,441,0.1463481703002989
Ciência Política / RI,1995-2004,74,212,0.12405962581302976
Economia,1995-2004,223,605,0.11727779592286725
Sociologia,1995-2004,245,628,0.11025185278832494
Antropologia / Arqueologia,1995-2004,81,176,0.09005275415144265
História,1995-2004,338,633,0.07220131224963944
Antropologia / Arqueologia,2005-2014,196,398,0.08188419880377351
Geografia,2005-2014,529,1044,0.07846233164394345
História,2005-2014,730,1342,0.06999333595670731
Ciência Política / RI,2005-2014,276,467,0.06017764954773086
Economia,2005-2014,631,1040,0.05708899934161216
Sociologia,2005-2014,698,1054,0.046856714982323355
Ciência Política / RI,2015-2024,541,1002,0.07088087329901871
Antropologia / Arqueologia,2015-2024,452,585,0.02907346816134071
Geografia,2015-2024,1181,1440,0.0222757671592817
História,2015-2024,1549,1795,0.016512116043947644
Economia,2015-2024,1032,1165,0.013560275512180198
Sociologia,2015-2024,1116,1050,-0.006750523244274387
