quadrienio,area_nome,conceito,programas,participacao
2013-2016,Economia,3,26,0.38235294117647056
2013-2016,Economia,4,21,0.3088235294117647
2013-2016,Economia,5,13,0.19117647058823528
2013-2016,Economia,6,5,0.07352941176470588
2013-2016,Economia,7,3,0.04411764705882353
2013-2016,Sociologia,3,21,0.3888888888888889
2013-2016,Sociologia,4,15,0.2777777777777778
2013-2016,Sociologia,5,12,0.2222222222222222
2013-2016,Sociologia,6,3,0.05555555555555555
2013-2016,Sociologia,7,3,0.05555555555555555
2013-2016,Antropologia / Arqueologia,3,9,0.3103448275862069
2013-2016,Antropologia / Arqueologia,4,9,0.3103448275862069
2013-2016,Antropologia / Arqueologia,5,6,0.20689655172413793
2013-2016,Antropologia / Arqueologia,6,2,0.06896551724137931
2013-2016,Antropologia / Arqueologia,7,3,0.10344827586206896
2013-2016,Geografia,3,26,0.40625
2013-2016,Geografia,4,22,0.34375
2013-2016,Geografia,5,10,0.15625
2013-2016,Geografia,6,3,0.046875
2013-2016,Geografia,7,3,0.046875
2013-2016,Ciência Política / RI,3,19,0.4418604651162791
2013-2016,Ciência Política / RI,4,12,0.27906976744186046
2013-2016,Ciência Política / RI,5,6,0.13953488372093023
2013-2016,Ciência Política / RI,6,4,0.09302325581395349
2013-2016,Ciência Política / RI,7,2,0.046511627906976744
2013-2016,História,3,29,0.4084507042253521
2013-2016,História,4,23,0.323943661971831
2013-2016,História,5,13,0.18309859154929578
2013-2016,História,6,4,0.056338028169014086
2013-2016,História,7,2,0.028169014084507043
2017-2020,Economia,3,20,0.2857142857142857
2017-2020,Economia,4,25,0.35714285714285715
2017-2020,Economia,5,15,0.21428571428571427
2017-2020,Economia,6,6,0.08571428571428572
2017-2020,Economia,7,4,0.05714285714285714
2017-2020,Sociologia,3,13,0.24528301886792453
2017-2020,Sociologia,4,23,0.4339622641509434
2017-2020,Sociologia,5,9,0.16981132075471697
2017-2020,Sociologia,6,5,0.09433962264150944
2017-2020,Sociologia,7,3,0.05660377358490566
2017-2020,Antropologia / Arqueologia,3,11,0.3333333333333333
2017-2020,Antropologia / Arqueologia,4,9,0.2727272727272727
2017-2020,Antropologia / Arqueologia,5,9,0.2727272727272727
2017-2020,Antropologia / Arqueologia,6,2,0.06060606060606061
2017-2020,Antropologia / Arqueologia,7,2,0.06060606060606061
2017-2020,Geografia,3,26,0.4
2017-2020,Geografia,4,17,0.26153846153846155
2017-2020,Geografia,5,13,0.2
2017-2020,Geografia,6,7,0.1076923076923077
2017-2020,Geografia,7,2,0.03076923076923077
2017-2020,Ciência Política / RI,3,21,0.4117647058823529
2017-2020,Ciência Política / RI,4,17,0.3333333333333333
2017-2020,Ciência Política / RI,5,6,0.11764705882352941
2017-2020,Ciência Política / RI,6,5,0.09803921568627451
2017-2020,Ciência Política / RI,7,2,0.0392156862745098
2017-2020,História,3,23,0.3194444444444444
2017-2020,História,4,26,0.3611111111111111
2017-2020,História,5,17,0.2361111111111111
2017-2020,História,6,4,0.05555555555555555
2017-2020,História,7,2,0.027777777777777776
2021-2024,Economia,1,1,0.013157894736842105
2021-2024,Economia,3,20,0.2631578947368421
2021-2024,Economia,4,27,0.35526315789473684
2021-2024,Economia,5,17,0.2236842105263158
2021-2024,Economia,6,6,0.07894736842105263
2021-2024,Economia,7,5,0.06578947368421052
2021-2024,Sociologia,3,5,0.09615384615384616
2021-2024,Sociologia,4,23,0.4423076923076923
2021-2024,Sociologia,5,15,0.28846153846153844
2021-2024,Sociologia,6,5,0.09615384615384616
2021-2024,Sociologia,7,4,0.07692307692307693
2021-2024,Antropologia / Arqueologia,1,1,0.02702702702702703
2021-2024,Antropologia / Arqueologia,3,10,0.2702702702702703
2021-2024,Antropologia / Arqueologia,4,9,0.24324324324324326
2021-2024,Antropologia / Arqueologia,5,9,0.24324324324324326
2021-2024,Antropologia / Arqueologia,6,5,0.13513513513513514
2021-2024,Antropologia / Arqueologia,7,3,0.08108108108108109
2021-2024,Geografia,3,15,0.19230769230769232
2021-2024,Geografia,4,35,0.44871794871794873
2021-2024,Geografia,5,18,0.23076923076923078
2021-2024,Geografia,6,8,0.10256410256410256
2021-2024,Geografia,7,2,0.02564102564102564
2021-2024,Ciência Política / RI,3,16,0.26666666666666666
2021-2024,Ciência Política / RI,4,25,0.4166666666666667
2021-2024,Ciência Política / RI,5,11,0.18333333333333332
2021-2024,Ciência Política / RI,6,4,0.06666666666666667
2021-2024,Ciência Política / RI,7,4,0.06666666666666667
2021-2024,História,3,17,0.2125
2021-2024,História,4,27,0.3375
2021-2024,História,5,24,0.3
2021-2024,História,6,6,0.075
2021-2024,História,7,6,0.075
