ano,area_nome,programas,maior_ies_programas,participacao_maior_ies,hhi_ies
2013,Geografia,52,3,0.057692307692307696,0.025147928994082844
2013,Economia,142,4,0.028169014084507043,0.010811346954969252
2013,Ciência Política / RI,34,3,0.08823529411764706,0.041522491349480974
2013,Sociologia,64,2,0.03125,0.017578125
2013,Antropologia / Arqueologia,139,16,0.11510791366906475,0.02603384917964909
2013,História,211,19,0.09004739336492891,0.03097414703173783
2014,Geografia,56,3,0.05357142857142857,0.02423469387755102
2014,Economia,155,4,0.025806451612903226,0.010197710718002082
2014,Ciência Política / RI,37,2,0.05405405405405406,0.03579254930606283
2014,Sociologia,70,3,0.04285714285714286,0.01714285714285714
2014,Antropologia / Arqueologia,141,16,0.11347517730496454,0.025401136763744277
2014,História,218,19,0.0871559633027523,0.03038464775692282
2015,Geografia,62,3,0.04838709677419355,0.022372528616024973
2015,Economia,163,4,0.024539877300613498,0.010124581278934097
2015,Ciência Política / RI,40,3,0.075,0.036250000000000004
2015,Sociologia,70,3,0.04285714285714286,0.01714285714285714
2015,Antropologia / Arqueologia,146,16,0.1095890410958904,0.02420716832426346
2015,História,218,19,0.0871559633027523,0.030342563757259494
2016,Geografia,64,3,0.046875,0.021484375
2016,Economia,170,4,0.023529411764705882,0.009826989619377162
2016,Ciência Política / RI,43,3,0.06976744186046512,0.034072471606273656
2016,Sociologia,71,3,0.04225352112676056,0.017258480460226145
2016,Antropologia / Arqueologia,154,16,0.1038961038961039,0.022938100860178785
2016,História,223,19,0.08520179372197309,0.029379235456172454
2017,Geografia,65,3,0.046153846153846156,0.021065088757396454
2017,Economia,176,4,0.022727272727272728,0.009555785123966942
2017,Ciência Política / RI,48,3,0.0625,0.029513888888888888
2017,Sociologia,72,3,0.041666666666666664,0.016975308641975308
2017,Antropologia / Arqueologia,155,16,0.1032258064516129,0.022601456815816857
2017,História,224,19,0.08482142857142858,0.029017857142857144
2018,Geografia,65,3,0.046153846153846156,0.021065088757396454
2018,Economia,176,4,0.022727272727272728,0.009555785123966942
2018,Ciência Política / RI,51,4,0.0784313725490196,0.031910803537101115
2018,Sociologia,72,3,0.041666666666666664,0.017746913580246913
2018,Antropologia / Arqueologia,153,16,0.10457516339869281,0.023025332137212185
2018,História,224,19,0.08482142857142858,0.029017857142857144
2019,Geografia,76,3,0.039473684210526314,0.018005540166204984
2019,Economia,184,4,0.021739130434782608,0.0090382797731569
2019,Ciência Política / RI,58,4,0.06896551724137931,0.027942925089179546
2019,Sociologia,81,3,0.037037037037037035,0.016003657978966617
2019,Antropologia / Arqueologia,161,16,0.09937888198757763,0.021179738436017125
2019,História,224,19,0.08482142857142858,0.028938137755102043
2020,Geografia,76,3,0.039473684210526314,0.018005540166204984
2020,Economia,186,4,0.021505376344086023,0.009191814082552898
2020,Ciência Política / RI,59,4,0.06779661016949153,0.02786555587474864
2020,Sociologia,80,3,0.0375,0.016250000000000004
2020,Antropologia / Arqueologia,157,16,0.10191082802547771,0.0221104304434257
2020,História,218,19,0.0871559633027523,0.0297533877619729
2021,Geografia,79,3,0.0379746835443038,0.017465149815734656
2021,Economia,191,4,0.020942408376963352,0.008908747018996192
2021,Ciência Política / RI,62,4,0.06451612903225806,0.027575442247658687
2021,Sociologia,85,3,0.03529411764705882,0.015363321799307958
2021,Antropologia / Arqueologia,163,16,0.09815950920245399,0.02111483307614137
2021,História,224,19,0.08482142857142858,0.02917729591836735
2022,Geografia,77,3,0.03896103896103896,0.017034913138809244
2022,Economia,191,4,0.020942408376963352,0.008853923960417754
2022,Ciência Política / RI,60,4,0.06666666666666667,0.02888888888888889
2022,Sociologia,82,3,0.036585365853658534,0.015466983938132065
2022,Antropologia / Arqueologia,157,16,0.10191082802547771,0.022029291249137897
2022,História,217,19,0.08755760368663594,0.029624753127057275
2023,Geografia,77,3,0.03896103896103896,0.016697588126159558
2023,Economia,191,4,0.020942408376963352,0.008853923960417754
2023,Ciência Política / RI,60,4,0.06666666666666667,0.02888888888888889
2023,Sociologia,84,3,0.03571428571428571,0.01530612244897959
2023,Antropologia / Arqueologia,159,16,0.10062893081761007,0.021795023931015386
2023,História,222,19,0.08558558558558559,0.02901550198847496
2024,Geografia,80,3,0.0375,0.015625000000000003
2024,Economia,193,5,0.025906735751295335,0.008886144594485758
2024,Ciência Política / RI,64,4,0.0625,0.02685546875
2024,Sociologia,81,3,0.037037037037037035,0.015089163237311383
2024,Antropologia / Arqueologia,157,13,0.08280254777070063,0.01902714106048927
2024,História,215,18,0.08372093023255814,0.02888047593293672
