ano,area_nome,grau,programas,participacao
2013,Economia,MESTRADO,15,0.2727272727272727
2013,Economia,MESTRADO PROFISSIONAL,13,0.23636363636363636
2013,Economia,MESTRADO/DOUTORADO,27,0.4909090909090909
2013,Sociologia,DOUTORADO,1,0.019230769230769232
2013,Sociologia,MESTRADO,18,0.34615384615384615
2013,Sociologia,MESTRADO PROFISSIONAL,2,0.038461538461538464
2013,Sociologia,MESTRADO/DOUTORADO,31,0.5961538461538461
2013,Antropologia / Arqueologia,MESTRADO,5,0.19230769230769232
2013,Antropologia / Arqueologia,MESTRADO/DOUTORADO,21,0.8076923076923077
2013,Geografia,MESTRADO,16,0.3076923076923077
2013,Geografia,MESTRADO PROFISSIONAL,2,0.038461538461538464
2013,Geografia,MESTRADO/DOUTORADO,34,0.6538461538461539
2013,Ciência Política / RI,MESTRADO,8,0.25
2013,Ciência Política / RI,MESTRADO PROFISSIONAL,4,0.125
2013,Ciência Política / RI,MESTRADO/DOUTORADO,20,0.625
2013,História,MESTRADO,22,0.3492063492063492
2013,História,MESTRADO PROFISSIONAL,3,0.047619047619047616
2013,História,MESTRADO/DOUTORADO,38,0.6031746031746031
2014,Economia,MESTRADO,17,0.2982456140350877
2014,Economia,MESTRADO PROFISSIONAL,13,0.22807017543859648
2014,Economia,MESTRADO/DOUTORADO,27,0.47368421052631576
2014,Sociologia,DOUTORADO,1,0.0196078431372549
2014,Sociologia,MESTRADO,17,0.3333333333333333
2014,Sociologia,MESTRADO PROFISSIONAL,2,0.0392156862745098
2014,Sociologia,MESTRADO/DOUTORADO,31,0.6078431372549019
2014,Antropologia / Arqueologia,MESTRADO,6,0.2222222222222222
2014,Antropologia / Arqueologia,MESTRADO/DOUTORADO,21,0.7777777777777778
2014,Geografia,MESTRADO,20,0.35714285714285715
2014,Geografia,MESTRADO PROFISSIONAL,2,0.03571428571428571
2014,Geografia,MESTRADO/DOUTORADO,34,0.6071428571428571
2014,Ciência Política / RI,MESTRADO,11,0.2972972972972973
2014,Ciência Política / RI,MESTRADO PROFISSIONAL,6,0.16216216216216217
2014,Ciência Política / RI,MESTRADO/DOUTORADO,20,0.5405405405405406
2014,História,MESTRADO,22,0.3188405797101449
2014,História,MESTRADO PROFISSIONAL,9,0.13043478260869565
2014,História,MESTRADO/DOUTORADO,38,0.5507246376811594
2015,Economia,DOUTORADO,1,0.01639344262295082
2015,Economia,MESTRADO,19,0.3114754098360656
2015,Economia,MESTRADO PROFISSIONAL,14,0.22950819672131148
2015,Economia,MESTRADO/DOUTORADO,27,0.4426229508196721
2015,Sociologia,DOUTORADO,1,0.0196078431372549
2015,Sociologia,MESTRADO,17,0.3333333333333333
2015,Sociologia,MESTRADO PROFISSIONAL,2,0.0392156862745098
2015,Sociologia,MESTRADO/DOUTORADO,31,0.6078431372549019
2015,Antropologia / Arqueologia,MESTRADO,7,0.25
2015,Antropologia / Arqueologia,MESTRADO/DOUTORADO,21,0.75
2015,Geografia,MESTRADO,25,0.4032258064516129
2015,Geografia,MESTRADO PROFISSIONAL,3,0.04838709677419355
2015,Geografia,MESTRADO/DOUTORADO,34,0.5483870967741935
2015,Ciência Política / RI,MESTRADO,13,0.325
2015,Ciência Política / RI,MESTRADO PROFISSIONAL,6,0.15
2015,Ciência Política / RI,MESTRADO/DOUTORADO,21,0.525
2015,História,MESTRADO,21,0.30434782608695654
2015,História,MESTRADO PROFISSIONAL,9,0.13043478260869565
2015,História,MESTRADO/DOUTORADO,39,0.5652173913043478
2016,Economia,DOUTORADO,1,0.015151515151515152
2016,Economia,MESTRADO,21,0.3181818181818182
2016,Economia,MESTRADO PROFISSIONAL,16,0.24242424242424243
2016,Economia,MESTRADO/DOUTORADO,28,0.42424242424242425
2016,Sociologia,DOUTORADO,1,0.018867924528301886
2016,Sociologia,MESTRADO,19,0.3584905660377358
2016,Sociologia,MESTRADO PROFISSIONAL,2,0.03773584905660377
2016,Sociologia,MESTRADO/DOUTORADO,31,0.5849056603773585
2016,Antropologia / Arqueologia,MESTRADO,8,0.27586206896551724
2016,Antropologia / Arqueologia,MESTRADO/DOUTORADO,21,0.7241379310344828
2016,Geografia,MESTRADO,26,0.40625
2016,Geografia,MESTRADO PROFISSIONAL,3,0.046875
2016,Geografia,MESTRADO/DOUTORADO,35,0.546875
2016,Ciência Política / RI,MESTRADO,14,0.32558139534883723
2016,Ciência Política / RI,MESTRADO PROFISSIONAL,8,0.18604651162790697
2016,Ciência Política / RI,MESTRADO/DOUTORADO,21,0.4883720930232558
2016,História,MESTRADO,23,0.323943661971831
2016,História,MESTRADO PROFISSIONAL,9,0.1267605633802817
2016,História,MESTRADO/DOUTORADO,39,0.5492957746478874
2017,Economia,DOUTORADO,1,0.014285714285714285
2017,Economia,MESTRADO,24,0.34285714285714286
2017,Economia,MESTRADO PROFISSIONAL,17,0.24285714285714285
2017,Economia,MESTRADO/DOUTORADO,28,0.4
