ano,area_nome,modalidade,programas,participacao
2013,Economia,ACADEMICO,42,0.7636363636363637
2013,Economia,PROFISSIONAL,13,0.23636363636363636
2013,Sociologia,ACADEMICO,50,0.9615384615384616
2013,Sociologia,PROFISSIONAL,2,0.038461538461538464
2013,Antropologia / Arqueologia,ACADEMICO,26,1
2013,Geografia,ACADEMICO,50,0.9615384615384616
2013,Geografia,PROFISSIONAL,2,0.038461538461538464
2013,Ciência Política / RI,ACADEMICO,28,0.875
2013,Ciência Política / RI,PROFISSIONAL,4,0.125
2013,História,ACADEMICO,60,0.9523809523809523
2013,História,PROFISSIONAL,3,0.047619047619047616
2014,Economia,ACADEMICO,44,0.7719298245614035
2014,Economia,PROFISSIONAL,13,0.22807017543859648
2014,Sociologia,ACADEMICO,49,0.9607843137254902
2014,Sociologia,PROFISSIONAL,2,0.0392156862745098
2014,Antropologia / Arqueologia,ACADEMICO,27,1
2014,Geografia,ACADEMICO,54,0.9642857142857143
2014,Geografia,PROFISSIONAL,2,0.03571428571428571
2014,Ciência Política / RI,ACADEMICO,31,0.8378378378378378
2014,Ciência Política / RI,PROFISSIONAL,6,0.16216216216216217
2014,História,ACADEMICO,60,0.8695652173913043
2014,História,PROFISSIONAL,9,0.13043478260869565
2015,Economia,ACADEMICO,47,0.7704918032786885
2015,Economia,PROFISSIONAL,14,0.22950819672131148
2015,Sociologia,ACADEMICO,49,0.9607843137254902
2015,Sociologia,PROFISSIONAL,2,0.0392156862745098
2015,Antropologia / Arqueologia,ACADEMICO,28,1
2015,Geografia,ACADEMICO,59,0.9516129032258065
2015,Geografia,PROFISSIONAL,3,0.04838709677419355
2015,Ciência Política / RI,ACADEMICO,34,0.85
2015,Ciência Política / RI,PROFISSIONAL,6,0.15
2015,História,ACADEMICO,60,0.8695652173913043
2015,História,PROFISSIONAL,9,0.13043478260869565
2016,Economia,ACADEMICO,50,0.7575757575757576
2016,Economia,PROFISSIONAL,16,0.24242424242424243
2016,Sociologia,ACADEMICO,51,0.9622641509433962
2016,Sociologia,PROFISSIONAL,2,0.03773584905660377
2016,Antropologia / Arqueologia,ACADEMICO,29,1
2016,Geografia,ACADEMICO,61,0.953125
2016,Geografia,PROFISSIONAL,3,0.046875
2016,Ciência Política / RI,ACADEMICO,35,0.813953488372093
2016,Ciência Política / RI,PROFISSIONAL,8,0.18604651162790697
2016,História,ACADEMICO,62,0.8732394366197183
2016,História,PROFISSIONAL,9,0.1267605633802817
2017,Economia,ACADEMICO,53,0.7571428571428571
2017,Economia,PROFISSIONAL,17,0.24285714285714285
2017,Sociologia,ACADEMICO,49,0.9607843137254902
2017,Sociologia,PROFISSIONAL,2,0.0392156862745098
2017,Antropologia / Arqueologia,ACADEMICO,31,1
2017,Geografia,ACADEMICO,62,0.9538461538461539
2017,Geografia,PROFISSIONAL,3,0.046153846153846156
2017,Ciência Política / RI,ACADEMICO,38,0.7916666666666666
2017,Ciência Política / RI,PROFISSIONAL,10,0.20833333333333334
2017,História,ACADEMICO,61,0.8591549295774648
2017,História,PROFISSIONAL,10,0.14084507042253522
2018,Economia,ACADEMICO,53,0.7681159420289855
2018,Economia,PROFISSIONAL,16,0.2318840579710145
2018,Sociologia,ACADEMICO,49,0.9607843137254902
2018,Sociologia,PROFISSIONAL,2,0.0392156862745098
2018,Antropologia / Arqueologia,ACADEMICO,32,0.9696969696969697
2018,Antropologia / Arqueologia,PROFISSIONAL,1,0.030303030303030304
2018,Geografia,ACADEMICO,62,0.9538461538461539
2018,Geografia,PROFISSIONAL,3,0.046153846153846156
2018,Ciência Política / RI,ACADEMICO,36,0.72
