ano,area_nome,programas_ativos,docentes_unicos,docentes_por_programa,conceito_medio,ufs,ies,titulos,Doutorado,Mestrado,titulos_por_programa,titulos_por_docente,razao_doutorado_mestrado
2013,Geografia,52,1028,19.76923076923077,4.1923076923076925,23,45,1042,290,752,20.03846153846154,1.0136186770428015,0.38563829787234044
2013,Economia,142,3166,22.295774647887324,3.8098591549295775,24,113,981,146,835,6.908450704225352,0.3098547062539482,0.17485029940119762
2013,Ciência Política / RI,34,555,16.323529411764707,4.147058823529412,14,28,482,101,381,14.176470588235293,0.8684684684684685,0.2650918635170604
2013,Sociologia,64,1489,23.265625,4.046875,22,60,1083,335,748,16.921875,0.7273337810611148,0.44786096256684493
2013,Antropologia / Arqueologia,139,3096,22.27338129496403,4.043165467625899,25,83,370,87,283,2.661870503597122,0.11950904392764858,0.30742049469964666
2013,História,211,3382,16.028436018957347,4.289099526066351,25,76,1322,329,993,6.265402843601896,0.3908929627439385,0.33131923464249746
2014,Geografia,56,1099,19.625,4.107142857142857,24,47,1044,240,804,18.642857142857142,0.9499545040946314,0.29850746268656714
2014,Economia,155,3465,22.35483870967742,3.7548387096774194,26,121,1067,169,898,6.883870967741935,0.30793650793650795,0.18819599109131402
2014,Ciência Política / RI,37,632,17.08108108108108,4.135135135135135,14,31,467,98,369,12.621621621621621,0.7389240506329114,0.26558265582655827
2014,Sociologia,70,1641,23.442857142857143,3.971428571428571,22,64,1110,396,714,15.857142857142858,0.676416819012797,0.5546218487394958
2014,Antropologia / Arqueologia,141,3315,23.51063829787234,4.042553191489362,25,85,398,105,293,2.8226950354609928,0.12006033182503771,0.3583617747440273
2014,História,218,3498,16.045871559633028,4.261467889908257,25,76,1367,322,1045,6.270642201834862,0.3907947398513436,0.30813397129186604
2015,Geografia,62,1176,18.967741935483872,4.016129032258065,25,51,1181,364,817,19.048387096774192,1.004251700680272,0.4455324357405141
2015,Economia,163,3638,22.319018404907975,3.7177914110429446,26,123,1066,166,900,6.539877300613497,0.2930181418361737,0.18444444444444444
2015,Ciência Política / RI,40,686,17.15,4.1,14,32,541,144,397,13.525,0.7886297376093294,0.36272040302267
2015,Sociologia,70,1669,23.84285714285714,3.971428571428571,22,64,1174,363,811,16.771428571428572,0.7034152186938286,0.4475955610357583
2015,Antropologia / Arqueologia,146,3433,23.513698630136982,4.013698630136986,25,87,452,117,335,3.095890410958904,0.13166326827847363,0.3492537313432836
2015,História,218,3541,16.243119266055047,4.256880733944954,25,77,1579,411,1168,7.243119266055046,0.44591923185540805,0.3518835616438356
2016,Geografia,64,1212,18.9375,3.984375,25,53,1209,342,867,18.890625,0.9975247524752475,0.3944636678200692
2016,Economia,170,3779,22.229411764705883,3.6882352941176473,26,127,1154,175,979,6.788235294117647,0.30537179147922733,0.1787538304392237
2016,Ciência Política / RI,43,716,16.651162790697676,4.023255813953488,14,34,610,134,476,14.186046511627907,0.8519553072625698,0.2815126050420168
2016,Sociologia,71,1769,24.91549295774648,3.971830985915493,22,64,1232,457,775,17.35211267605634,0.6964386659129451,0.58967741935483875
2016,Antropologia / Arqueologia,154,3529,22.915584415584416,3.961038961038961,26,91,432,122,310,2.8051948051948052,0.12241428166619439,0.3935483870967742
2016,História,223,3599,16.1390134529148,4.228699551569507,25,79,1700,449,1251,7.623318385650224,0.4723534315087524,0.35891286970423664
2017,Geografia,65,1274,19.6,4.123076923076923,25,54,1339,410,929,20.6,1.0510204081632653,0.4413347685683531
2017,Economia,176,4053,23.02840909090909,4.005681818181818,27,130,1300,221,1079,7.386363636363637,0.32075006168270415,0.20481927710843373
2017,Ciência Política / RI,48,823,17.145833333333332,4.125,16,39,634,149,485,13.208333333333334,0.7703523693803159,0.30721649484536084
2017,Sociologia,72,1829,25.40277777777778,4.111111111111111,22,65,1223,436,787,16.98611111111111,0.6686714051394205,0.554002541296061
2017,Antropologia / Arqueologia,155,3740,24.129032258064516,4.303225806451613,26,93,445,121,324,2.870967741935484,0.11898395721925134,0.3734567901234568
2017,História,224,3714,16.580357142857142,4.299107142857143,25,79,1562,415,1147,6.973214285714286,0.42057081313947225,0.3618134263295554
2018,Geografia,65,1277,19.646153846153847,4.107692307692307,25,54,1265,368,897,19.46153846153846,0.990602975724354,0.41025641025641024
2018,Economia,176,4130,23.46590909090909,4.0397727272727275,27,130,1196,213,983,6.795454545454546,0.28958837772397095,0.21668362156663276
2018,Ciência Política / RI,51,880,17.254901960784313,4,15,39,794,199,595,15.568627450980392,0.9022727272727272,0.334453781512605
2018,Sociologia,72,1870,25.97222222222222,4.111111111111111,22,64,1088,395,693,15.11111111111111,0.5818181818181818,0.56998556998557
2018,Antropologia / Arqueologia,153,3822,24.980392156862745,4.3202614379084965,26,92,450,157,293,2.9411764705882355,0.11773940345368916,0.5358361774744027
2018,História,224,3747,16.727678571428573,4.299107142857143,25,79,1833,506,1327,8.183035714285714,0.489191353082466,0.3813112283345893
