ano,area_nome,titulos,participacao
1987,Antropologia / Arqueologia,36,0.10256410256410256
1987,Ciência Política / RI,26,0.07407407407407407
1987,Economia,107,0.30484330484330485
1987,Geografia,42,0.11965811965811966
1987,História,50,0.14245014245014245
1987,Sociologia,90,0.2564102564102564
1988,Antropologia / Arqueologia,36,0.0972972972972973
1988,Ciência Política / RI,24,0.06486486486486487
1988,Economia,96,0.2594594594594595
1988,Geografia,23,0.062162162162162166
1988,História,93,0.25135135135135134
1988,Sociologia,98,0.2648648648648649
1989,Antropologia / Arqueologia,35,0.08641975308641975
1989,Ciência Política / RI,23,0.056790123456790124
1989,Economia,116,0.28641975308641976
1989,Geografia,37,0.09135802469135802
1989,História,98,0.2419753086419753
1989,Sociologia,96,0.23703703703703705
1990,Antropologia / Arqueologia,41,0.07454545454545454
1990,Ciência Política / RI,31,0.056363636363636366
1990,Economia,156,0.28363636363636363
1990,Geografia,61,0.11090909090909092
1990,História,129,0.23454545454545456
1990,Sociologia,132,0.24
1991,Antropologia / Arqueologia,76,0.10872675250357654
1991,Ciência Política / RI,57,0.0815450643776824
1991,Economia,173,0.2474964234620887
1991,Geografia,93,0.13304721030042918
1991,História,148,0.2117310443490701
1991,Sociologia,152,0.21745350500715308
1992,Antropologia / Arqueologia,95,0.10292524377031419
1992,Ciência Política / RI,80,0.0866738894907909
1992,Economia,227,0.24593716143011918
1992,Geografia,73,0.0790899241603467
1992,História,229,0.24810400866738894
1992,Sociologia,219,0.2372697724810401
1993,Antropologia / Arqueologia,69,0.08414634146341464
1993,Ciência Política / RI,38,0.046341463414634146
1993,Economia,209,0.2548780487804878
1993,Geografia,91,0.11097560975609756
1993,História,215,0.2621951219512195
1993,Sociologia,198,0.24146341463414633
1994,Antropologia / Arqueologia,71,0.07836644591611479
1994,Ciência Política / RI,62,0.0684326710816777
1994,Economia,231,0.25496688741721857
1994,Geografia,92,0.10154525386313466
1994,História,222,0.24503311258278146
1994,Sociologia,228,0.25165562913907286
1995,Antropologia / Arqueologia,81,0.07431192660550459
1995,Ciência Política / RI,74,0.06788990825688074
1995,Economia,223,0.20458715596330276
1995,Geografia,129,0.11834862385321102
1995,História,338,0.31009174311926607
1995,Sociologia,245,0.22477064220183487
1996,Antropologia / Arqueologia,103,0.08373983739837398
1996,Ciência Política / RI,91,0.07398373983739838
1996,Economia,213,0.17317073170731706
1996,Geografia,147,0.11951219512195121
1996,História,372,0.3024390243902439
1996,Sociologia,304,0.24715447154471545
1997,Antropologia / Arqueologia,101,0.07448377581120944
1997,Ciência Política / RI,118,0.08702064896755163
1997,Economia,265,0.19542772861356933
1997,Geografia,160,0.11799410029498525
1997,História,385,0.28392330383480824
1997,Sociologia,327,0.2411504424778761
1998,Antropologia / Arqueologia,113,0.0815884476534296
1998,Ciência Política / RI,111,0.08014440433212996
1998,Economia,266,0.192057761732852
1998,Geografia,167,0.12057761732851986
1998,História,399,0.28808664259927796
1998,Sociologia,329,0.2375451263537906
1999,Antropologia / Arqueologia,124,0.07673267326732673
1999,Ciência Política / RI,108,0.06683168316831684
1999,Economia,343,0.21225247524752475
1999,Geografia,221,0.13675742574257427
1999,História,422,0.26113861386138615
1999,Sociologia,398,0.24628712871287128
2000,Antropologia / Arqueologia,137,0.07322287546766434
2000,Ciência Política / RI,115,0.06146445750935329
2000,Economia,444,0.23730625334045966
2000,Geografia,273,0.1459112773917691
2000,História,490,0.26189203634420094
2000,Sociologia,412,0.22020309994655266
2001,Antropologia / Arqueologia,136,0.06513409961685823
2001,Ciência Política / RI,129,0.0617816091954023
2001,Economia,475,0.2274904214559387
2001,Geografia,355,0.1700191570881226
2001,História,579,0.27729885057471265
2001,Sociologia,414,0.19827586206896552
2002,Antropologia / Arqueologia,151,0.057545731707317076
2002,Ciência Política / RI,115,0.04382621951219512
2002,Economia,571,0.21760670731707318
2002,Geografia,447,0.17035060975609756
2002,História,747,0.2846798780487805
2002,Sociologia,593,0.22599085365853658
2003,Antropologia / Arqueologia,161,0.05925653294074347
2003,Ciência Política / RI,183,0.0673536989326463
2003,Economia,722,0.26573426573426573
2003,Geografia,397,0.14611704085388297
2003,História,622,0.22892896577107102
2003,Sociologia,632,0.2326094957673905
2004,Antropologia / Arqueologia,176,0.0653061224489796
2004,Ciência Política / RI,212,0.07866419294990723
2004,Economia,605,0.22448979591836735
2004,Geografia,441,0.16363636363636364
2004,História,633,0.23487940630797774
2004,Sociologia,628,0.23302411873840445
2005,Antropologia / Arqueologia,196,0.06405228758169934
2005,Ciência Política / RI,276,0.09019607843137255
2005,Economia,631,0.20620915032679737
2005,Geografia,529,0.17287581699346405
2005,História,730,0.238562091503268
2005,Sociologia,698,0.2281045751633987
2006,Antropologia / Arqueologia,228,0.06801909307875895
2006,Ciência Política / RI,279,0.08323389021479713
2006,Economia,712,0.21241050119331742
2006,Geografia,588,0.17541766109785203
2006,História,837,0.24970167064439142
2006,Sociologia,708,0.21121718377088305
2007,Antropologia / Arqueologia,208,0.061556673572062744
2007,Ciência Política / RI,225,0.0665877478543948
2007,Economia,713,0.21100917431192662
2007,Geografia,617,0.1825984018940515
2007,História,862,0.2551050606688369
2007,Sociologia,754,0.22314294169872742
2008,Antropologia / Arqueologia,222,0.05817610062893082
2008,Ciência Política / RI,232,0.06079664570230608
2008,Economia,802,0.21016771488469602
2008,Geografia,731,0.19156184486373165
2008,História,1034,0.2709643605870021
2008,Sociologia,795,0.20833333333333334
2009,Antropologia / Arqueologia,247,0.05931796349663785
2009,Ciência Política / RI,282,0.06772334293948126
2009,Economia,945,0.22694524495677235
2009,Geografia,735,0.1765129682997118
2009,História,1103,0.2648895292987512
2009,Sociologia,852,0.20461095100864554
2010,Antropologia / Arqueologia,273,0.0638148667601683
2010,Ciência Política / RI,305,0.07129499766245909
2010,Economia,924,0.21598877980364656
2010,Geografia,796,0.18606825619448342
2010,História,1088,0.25432445067788684
2010,Sociologia,892,0.2085086489013558
2011,Antropologia / Arqueologia,247,0.05475504322766571
2011,Ciência Política / RI,373,0.08268676568388383
2011,Economia,957,0.21214808246508535
2011,Geografia,911,0.2019507869651962
2011,História,1178,0.26113943693194414
2011,Sociologia,845,0.1873198847262248
2012,Antropologia / Arqueologia,354,0.07254098360655738
2012,Ciência Política / RI,415,0.08504098360655737
2012,Economia,1010,0.2069672131147541
2012,Geografia,931,0.19077868852459015
2012,História,1203,0.24651639344262294
2012,Sociologia,967,0.19815573770491804
2013,Antropologia / Arqueologia,370,0.07151140316969462
2013,Ciência Política / RI,481,0.09296482412060302
2013,Economia,971,0.1876691148047932
2013,Geografia,1042,0.20139157325086973
2013,História,1299,0.2510630073444144
2013,Sociologia,1011,0.19540007730962505
2014,Antropologia / Arqueologia,398,0.0744621141253508
2014,Ciência Política / RI,467,0.08737137511693172
2014,Economia,1040,0.19457436856875585
2014,Geografia,1044,0.19532273152478952
2014,História,1342,0.2510757717492984
2014,Sociologia,1054,0.1971936389148737
2015,Antropologia / Arqueologia,452,0.07698858797479134
2015,Ciência Política / RI,541,0.09214784534150912
2015,Economia,1032,0.17577925396014307
2015,Geografia,1181,0.20115823539431102
2015,História,1549,0.2638392096746721
2015,Sociologia,1116,0.19008686765457333
2016,Antropologia / Arqueologia,432,0.0695428203477141
2016,Ciência Política / RI,610,0.09819703799098518
2016,Economia,1083,0.17433998712169993
2016,Geografia,1209,0.19462330972311656
2016,História,1681,0.2706052801030264
2016,Sociologia,1197,0.19269156471345783
2017,Antropologia / Arqueologia,445,0.0702225027615591
2017,Ciência Política / RI,634,0.10004734101309767
2017,Economia,1239,0.1955183840934196
2017,Geografia,1339,0.21129872179264636
2017,História,1541,0.24317500394508443
2017,Sociologia,1139,0.17973804639419283
2018,Antropologia / Arqueologia,450,0.06905017646156207
2018,Ciência Política / RI,794,0.12183520024551174
2018,Economia,1128,0.1730857756636489
2018,Geografia,1265,0.19410771827528003
2018,História,1812,0.27804204388522324
2018,Sociologia,1068,0.16387908546877397
2019,Antropologia / Arqueologia,544,0.07878349022447502
2019,Ciência Política / RI,961,0.1391745112237509
2019,Economia,1214,0.17581462708182477
2019,Geografia,1341,0.1942070963070239
2019,História,1748,0.25314989138305577
2019,Sociologia,1097,0.15887038377986967
2020,Antropologia / Arqueologia,430,0.07215975834871623
2020,Ciência Política / RI,698,0.11713374727303238
2020,Economia,1075,0.18039939587179057
2020,Geografia,1031,0.1730156066454103
2020,História,1719,0.2884712200033563
2020,Sociologia,1006,0.16882027185769424
2021,Antropologia / Arqueologia,466,0.07293786195022696
2021,Ciência Política / RI,776,0.12145875723900454
2021,Economia,1150,0.1799968696196588
2021,Geografia,1188,0.18594459226796056
2021,História,1828,0.2861167631867272
2021,Sociologia,981,0.15354515573642197
2022,Antropologia / Arqueologia,487,0.0744079449961803
2022,Ciência Política / RI,815,0.12452253628724216
2022,Economia,1135,0.173414820473644
2022,Geografia,1270,0.19404125286478227
2022,História,1967,0.30053475935828877
2022,Sociologia,871,0.1330786860198625
2023,Antropologia / Arqueologia,525,0.07516105941302792
2023,Ciência Política / RI,868,0.12426628489620616
2023,Economia,1247,0.17852541159627774
2023,Geografia,1400,0.20042949176807445
2023,História,1890,0.2705798138869005
2023,Sociologia,1055,0.15103793843951324
2024,Antropologia / Arqueologia,585,0.08313201648429729
2024,Ciência Política / RI,1002,0.1423902231064374
2024,Economia,1165,0.16555350291317322
2024,Geografia,1440,0.20463265596134717
2024,História,1795,0.25508028989626264
2024,Sociologia,1050,0.1492113116384823
