ano,area_nome,programas_ativos,ies,ufs,programas_mestrado,programas_doutorado,programas_academicos,programas_profissionais,pct_profissionais,conceito_medio,conceito_mediano,docentes_unicos,vinculos_docente_programa,docentes_permanentes,proporcao_doutores,docentes_por_programa,docentes_totais_por_programa,docentes_perm_por_programa_academico,vinculos_por_programa
2013,Economia,55,42,18,55,27,42,13,23.636363636363637,4.290909090909091,4,805,921,618,0.9739413680781759,11.236363636363636,14.636363636363637,14.714285714285714,16.745454545454546
2013,Sociologia,52,47,21,51,32,50,2,3.8461538461538463,4.153846153846154,4,1081,1142,866,0.98861646234676,16.653846153846153,20.78846153846154,17.32,21.96153846153846
2013,Antropologia / Arqueologia,26,21,17,26,21,26,0,0,4.5,4,486,510,406,0.9921568627450981,15.615384615384615,18.692307692307693,15.615384615384615,19.615384615384617
2013,Geografia,52,45,23,52,34,50,2,3.8461538461538463,4.1923076923076925,4,1028,1114,852,0.9973070017953322,16.384615384615383,19.76923076923077,17.04,21.423076923076923
2013,Ciência Política / RI,32,27,14,32,20,28,4,12.5,4.28125,4,555,590,440,0.9898305084745763,13.75,17.34375,15.714285714285714,18.4375
2013,História,63,59,22,63,38,60,3,4.761904761904762,4.079365079365079,4,1489,1583,1234,0.9968414403032217,19.58730158730159,23.634920634920636,20.566666666666666,25.126984126984127
2014,Economia,57,45,18,57,27,44,13,22.80701754385965,4.228070175438597,4,883,995,674,0.9798994974874372,11.824561403508772,15.491228070175438,15.318181818181818,17.45614035087719
2014,Sociologia,51,47,21,50,32,49,2,3.9215686274509802,4.176470588235294,4,1104,1144,861,0.9895104895104895,16.88235294117647,21.647058823529413,17.571428571428573,22.431372549019606
2014,Antropologia / Arqueologia,27,22,18,27,21,27,0,0,4.444444444444445,4,514,541,416,0.9926062846580407,15.407407407407407,19.037037037037038,15.407407407407407,20.037037037037038
2014,Geografia,56,47,24,56,34,54,2,3.5714285714285716,4.107142857142857,4,1099,1190,908,0.9991596638655462,16.214285714285715,19.625,16.814814814814813,21.25
2014,Ciência Política / RI,37,31,14,37,20,31,6,16.216216216216218,4.135135135135135,4,632,680,483,0.9882352941176471,13.054054054054054,17.08108108108108,15.580645161290322,18.37837837837838
2014,História,69,63,22,69,38,60,9,13.043478260869565,4,4,1641,1816,1356,0.9955947136563876,19.652173913043477,23.782608695652176,22.6,26.318840579710145
2015,Economia,61,46,19,60,28,47,14,22.950819672131146,4.19672131147541,4,944,1105,724,0.9819004524886877,11.868852459016393,15.475409836065573,15.404255319148936,18.114754098360656
2015,Sociologia,51,47,21,50,32,49,2,3.9215686274509802,4.176470588235294,4,1132,1168,881,0.990582191780822,17.274509803921568,22.19607843137255,17.979591836734695,22.901960784313726
2015,Antropologia / Arqueologia,28,23,19,28,21,28,0,0,4.392857142857143,4,525,548,427,0.9945255474452555,15.25,18.75,15.25,19.571428571428573
2015,Geografia,62,51,25,62,34,59,3,4.838709677419355,4.016129032258065,4,1176,1276,983,0.9984326018808778,15.85483870967742,18.967741935483872,16.661016949152543,20.580645161290324
2015,Ciência Política / RI,40,32,14,40,21,34,6,15,4.1,4,686,745,538,0.9919463087248322,13.45,17.15,15.823529411764707,18.625
2015,História,69,63,22,69,39,60,9,13.043478260869565,4,4,1669,1836,1350,0.9950980392156863,19.565217391304348,24.18840579710145,22.5,26.608695652173914
2016,Economia,66,51,19,65,29,50,16,24.242424242424242,4.106060606060606,4,1009,1177,772,0.983857264231096,11.696969696969697,15.287878787878787,15.44,17.833333333333332
2016,Sociologia,53,49,22,52,32,51,2,3.7735849056603774,4.132075471698113,4,1170,1207,919,0.9933719966859983,17.339622641509433,22.07547169811321,18.019607843137255,22.77358490566038
2016,Antropologia / Arqueologia,29,24,20,29,21,29,0,0,4.344827586206897,4,544,567,438,0.9964726631393298,15.10344827586207,18.75862068965517,15.10344827586207,19.551724137931036
2016,Geografia,64,53,25,64,35,61,3,4.6875,3.984375,4,1212,1320,1012,0.9977272727272727,15.8125,18.9375,16.59016393442623,20.625
2016,Ciência Política / RI,43,34,14,43,21,35,8,18.6046511627907,4.023255813953488,4,716,785,560,0.9885350318471338,13.023255813953488,16.651162790697676,16,18.25581395348837
2016,História,71,64,22,71,39,62,9,12.67605633802817,3.971830985915493,4,1769,2047,1466,0.9965803615046409,20.64788732394366,24.91549295774648,23.64516129032258,28.830985915492956
2017,Economia,70,54,19,69,29,53,17,24.285714285714285,4.214285714285714,4,1098,1298,850,0.9830508474576272,12.142857142857142,15.685714285714285,16.037735849056602,18.542857142857144
2017,Sociologia,51,47,21,50,33,49,2,3.9215686274509802,4.333333333333333,4,1167,1203,917,0.9975062344139651,17.980392156862745,22.88235294117647,18.714285714285715,23.58823529411765
2017,Antropologia / Arqueologia,31,26,21,31,21,31,0,0,4.354838709677419,4,559,583,451,0.9982847341337907,14.548387096774194,18.032258064516128,14.548387096774194,18.806451612903224
2017,Geografia,65,54,25,65,35,62,3,4.615384615384615,4.123076923076923,4,1274,1376,1069,0.9992732558139535,16.446153846153845,19.6,17.241935483870968,21.16923076923077
2017,Ciência Política / RI,48,39,16,47,22,38,10,20.833333333333332,4.125,4,823,900,630,0.9866666666666667,13.125,17.145833333333332,16.57894736842105,18.75
2017,História,71,64,22,71,39,61,10,14.084507042253522,4.140845070422535,4,1829,2108,1515,0.9971537001897534,21.338028169014084,25.760563380281692,24.83606557377049,29.690140845070424
2018,Economia,69,54,19,68,30,53,16,23.18840579710145,4.27536231884058,4,1122,1302,863,0.9854070660522274,12.507246376811594,16.26086956521739,16.28301886792453,18.869565217391305
2018,Sociologia,51,47,21,50,36,49,2,3.9215686274509802,4.294117647058823,4,1220,1292,972,0.9938080495356038,19.058823529411764,23.92156862745098,19.836734693877553,25.333333333333332
2018,Antropologia / Arqueologia,33,28,22,33,21,32,1,3.0303030303030303,4.242424242424242,4,615,644,489,0.9984472049689441,14.818181818181818,18.636363636363637,15.28125,19.515151515151516
2018,Geografia,65,54,25,65,35,62,3,4.615384615384615,4.107692307692307,4,1277,1373,1066,0.9992716678805535,16.4,19.646153846153847,17.193548387096776,21.123076923076923
