ano,area_nome,nivel,titulos
1987,Antropologia / Arqueologia,Doutorado,11
1987,Antropologia / Arqueologia,Mestrado,25
1987,Antropologia / Arqueologia,Não informado,0
1987,Ciência Política / RI,Doutorado,6
1987,Ciência Política / RI,Mestrado,20
1987,Ciência Política / RI,Não informado,0
1987,Economia,Doutorado,15
1987,Economia,Mestrado,95
1987,Economia,Não informado,0
1987,Geografia,Doutorado,14
1987,Geografia,Mestrado,28
1987,Geografia,Não informado,0
1987,História,Doutorado,3
1987,História,Mestrado,49
1987,História,Não informado,0
1987,Não identificado,Doutorado,44
1987,Não identificado,Mestrado,182
1987,Não identificado,Não informado,0
1987,Sociologia,Doutorado,18
1987,Sociologia,Mestrado,72
1987,Sociologia,Não informado,0
1988,Antropologia / Arqueologia,Doutorado,13
1988,Antropologia / Arqueologia,Mestrado,23
1988,Antropologia / Arqueologia,Não informado,0
1988,Ciência Política / RI,Doutorado,5
1988,Ciência Política / RI,Mestrado,19
1988,Ciência Política / RI,Não informado,0
1988,Economia,Doutorado,13
1988,Economia,Mestrado,88
1988,Economia,Não informado,0
1988,Geografia,Doutorado,4
1988,Geografia,Mestrado,19
1988,Geografia,Não informado,0
1988,História,Doutorado,9
1988,História,Mestrado,84
1988,História,Não informado,0
1988,Não identificado,Doutorado,32
1988,Não identificado,Mestrado,171
1988,Não identificado,Não informado,0
1988,Sociologia,Doutorado,13
1988,Sociologia,Mestrado,85
1988,Sociologia,Não informado,0
1989,Antropologia / Arqueologia,Doutorado,6
1989,Antropologia / Arqueologia,Mestrado,29
1989,Antropologia / Arqueologia,Não informado,0
1989,Ciência Política / RI,Doutorado,5
1989,Ciência Política / RI,Mestrado,18
1989,Ciência Política / RI,Não informado,0
1989,Economia,Doutorado,13
1989,Economia,Mestrado,115
1989,Economia,Não informado,0
1989,Geografia,Doutorado,9
1989,Geografia,Mestrado,28
1989,Geografia,Não informado,0
1989,História,Doutorado,23
1989,História,Mestrado,82
1989,História,Não informado,0
1989,Não identificado,Doutorado,50
1989,Não identificado,Mestrado,219
1989,Não identificado,Não informado,0
1989,Sociologia,Doutorado,16
1989,Sociologia,Mestrado,80
1989,Sociologia,Não informado,0
1990,Antropologia / Arqueologia,Doutorado,10
1990,Antropologia / Arqueologia,Mestrado,31
1990,Antropologia / Arqueologia,Não informado,0
1990,Ciência Política / RI,Doutorado,5
1990,Ciência Política / RI,Mestrado,26
1990,Ciência Política / RI,Não informado,0
1990,Economia,Doutorado,19
1990,Economia,Mestrado,147
1990,Economia,Não informado,0
1990,Geografia,Doutorado,14
1990,Geografia,Mestrado,47
1990,Geografia,Não informado,0
1990,História,Doutorado,20
1990,História,Mestrado,115
1990,História,Não informado,0
1990,Não identificado,Doutorado,49
1990,Não identificado,Mestrado,270
1990,Não identificado,Não informado,0
1990,Sociologia,Doutorado,14
1990,Sociologia,Mestrado,118
1990,Sociologia,Não informado,0
1991,Antropologia / Arqueologia,Doutorado,16
1991,Antropologia / Arqueologia,Mestrado,60
1991,Antropologia / Arqueologia,Não informado,0
1991,Ciência Política / RI,Doutorado,4
1991,Ciência Política / RI,Mestrado,53
1991,Ciência Política / RI,Não informado,0
1991,Economia,Doutorado,24
1991,Economia,Mestrado,156
1991,Economia,Não informado,0
1991,Geografia,Doutorado,16
1991,Geografia,Mestrado,77
1991,Geografia,Não informado,0
1991,História,Doutorado,36
1991,História,Mestrado,121
1991,História,Não informado,0
1991,Não identificado,Doutorado,66
1991,Não identificado,Mestrado,310
1991,Não identificado,Não informado,0
1991,Sociologia,Doutorado,27
1991,Sociologia,Mestrado,125
1991,Sociologia,Não informado,0
1992,Antropologia / Arqueologia,Doutorado,12
1992,Antropologia / Arqueologia,Mestrado,83
1992,Antropologia / Arqueologia,Não informado,0
1992,Ciência Política / RI,Doutorado,11
1992,Ciência Política / RI,Mestrado,69
1992,Ciência Política / RI,Não informado,0
1992,Economia,Doutorado,40
1992,Economia,Mestrado,196
1992,Economia,Não informado,0
1992,Geografia,Doutorado,12
1992,Geografia,Mestrado,61
1992,Geografia,Não informado,0
1992,História,Doutorado,40
1992,História,Mestrado,198
1992,História,Não informado,0
1992,Não identificado,Doutorado,80
1992,Não identificado,Mestrado,425
1992,Não identificado,Não informado,0
1992,Sociologia,Doutorado,37
1992,Sociologia,Mestrado,182
1992,Sociologia,Não informado,0
1993,Antropologia / Arqueologia,Doutorado,13
1993,Antropologia / Arqueologia,Mestrado,56
1993,Antropologia / Arqueologia,Não informado,0
1993,Ciência Política / RI,Doutorado,6
1993,Ciência Política / RI,Mestrado,32
1993,Ciência Política / RI,Não informado,0
1993,Economia,Doutorado,32
1993,Economia,Mestrado,185
1993,Economia,Não informado,0
1993,Geografia,Doutorado,13
1993,Geografia,Mestrado,78
1993,Geografia,Não informado,0
1993,História,Doutorado,36
1993,História,Mestrado,188
1993,História,Não informado,0
1993,Não identificado,Doutorado,73
1993,Não identificado,Mestrado,434
1993,Não identificado,Não informado,0
1993,Sociologia,Doutorado,34
1993,Sociologia,Mestrado,168
1993,Sociologia,Não informado,0
1994,Antropologia / Arqueologia,Doutorado,10
1994,Antropologia / Arqueologia,Mestrado,61
1994,Antropologia / Arqueologia,Não informado,0
1994,Ciência Política / RI,Doutorado,2
1994,Ciência Política / RI,Mestrado,60
1994,Ciência Política / RI,Não informado,0
1994,Economia,Doutorado,63
