area_nome,ano,dimensao,n_unidades,hhi,gini,part_maior,total_titulos
Antropologia / Arqueologia,1995,IES,9,0.16537113244932172,0.38957475994513024,0.25925925925925924,81
Ciência Política / RI,1995,IES,9,0.16325785244704163,0.36036036036036045,0.25675675675675674,74
Economia,1995,IES,20,0.06955699893422349,0.33923766816143497,0.11659192825112108,223
Geografia,1995,IES,8,0.20822065981611682,0.39437984496124034,0.37209302325581395,129
História,1995,IES,17,0.10407548755295684,0.4114166376609815,0.23076923076923078,338
Sociologia,1995,IES,19,0.07625156184922947,0.3402792696025778,0.15918367346938775,245
Antropologia / Arqueologia,1995,UF,7,0.20408474317939337,0.3597883597883599,0.2839506172839506,81
Ciência Política / RI,1995,UF,6,0.2173119065010957,0.30630630630630645,0.3108108108108108,74
Economia,1995,UF,10,0.222023366647228,0.5331838565022423,0.3721973094170404,223
Geografia,1995,UF,6,0.35436572321374915,0.48966408268733846,0.5503875968992248,129
História,1995,UF,9,0.276005742095865,0.5641025641025641,0.4556213017751479,338
Sociologia,1995,UF,12,0.2170262390670554,0.5193877551020408,0.4122448979591837,245
Antropologia / Arqueologia,2013,IES,20,0.07076698319941564,0.3483783783783784,0.13243243243243244,370
Ciência Política / RI,2013,IES,22,0.05725684104062483,0.2860517860517861,0.09563409563409564,481
Economia,2013,IES,42,0.039507191562522206,0.38352704624589284,0.09989701338825953,971
Geografia,2013,IES,41,0.03782958359275128,0.3502176864379008,0.10940499040307101,1042
História,2013,IES,54,0.030927444039679956,0.37315028654520566,0.08083140877598152,1299
Sociologia,2013,IES,44,0.03007178210798917,0.30763870155561546,0.05539070227497527,1011
Antropologia / Arqueologia,2013,UF,17,0.10184075967859753,0.43338632750397466,0.1864864864864865,370
Ciência Política / RI,2013,UF,12,0.14167902109690053,0.43399168399168414,0.23700623700623702,481
Economia,2013,UF,18,0.14585810332813273,0.5844490216271885,0.26364572605561276,971
Geografia,2013,UF,23,0.10618697985934329,0.5333388967704247,0.23128598848368523,1042
História,2013,UF,20,0.13123673625889756,0.5627020785219401,0.25789068514241725,1299
Sociologia,2013,UF,19,0.10451306645690676,0.4699880264459369,0.2215628090999011,1011
Antropologia / Arqueologia,2024,IES,32,0.04864343633574403,0.36789529914529906,0.11965811965811966,585
Ciência Política / RI,2024,IES,42,0.03436639694662571,0.3470677692234579,0.07385229540918163,1002
Economia,2024,IES,59,0.034282451325314524,0.4622390339710483,0.09871244635193133,1165
Geografia,2024,IES,67,0.020687692901234567,0.33119817578772803,0.04375,1440
História,2024,IES,73,0.020076504682614196,0.34555653069790515,0.050696378830083565,1795
Sociologia,2024,IES,46,0.02869478458049887,0.3018633540372671,0.05904761904761905,1050
Antropologia / Arqueologia,2024,UF,22,0.08467236467236468,0.4369075369075368,0.1829059829059829,585
Ciência Política / RI,2024,UF,15,0.12903335046473915,0.4906187624750499,0.249500998003992,1002
Economia,2024,UF,19,0.12931606771169113,0.5826067314208268,0.25236051502145923,1165
Geografia,2024,UF,27,0.07157889660493827,0.47186213991769543,0.13958333333333334,1440
História,2024,UF,25,0.09192510920927058,0.5289805013927577,0.20445682451253483,1795
Sociologia,2024,UF,21,0.10959455782312925,0.4947845804988663,0.2180952380952381,1050
