ano_inicio,subarea,modalidade,programas
1969,CP,ACADEMICO,1
1973,CP,ACADEMICO,1
1974,CP,ACADEMICO,2
1982,CP,ACADEMICO,1
1984,CP,ACADEMICO,1
1984,RI,ACADEMICO,1
1987,RI,ACADEMICO,1
1994,CP,ACADEMICO,1
2003,RI,ACADEMICO,1
2006,PP,PROFISSIONAL,1
2007,DEFESA,PROFISSIONAL,1
2007,RI,ACADEMICO,1
2008,CP,ACADEMICO,2
2008,DEFESA,ACADEMICO,1
2008,RI,ACADEMICO,1
2009,CP,ACADEMICO,1
2009,RI,ACADEMICO,3
2010,CP,ACADEMICO,1
2010,PP,PROFISSIONAL,1
2011,CP,ACADEMICO,1
2011,DEFESA,ACADEMICO,1
2011,PP,ACADEMICO,1
2011,PP,PROFISSIONAL,1
2011,RI,ACADEMICO,1
2012,CP,ACADEMICO,1
2012,DEFESA,PROFISSIONAL,1
2013,CP,PROFISSIONAL,1
2013,DEFESA,ACADEMICO,1
2014,DEFESA,PROFISSIONAL,1
2014,PP,ACADEMICO,1
2014,PP,PROFISSIONAL,1
2014,RI,ACADEMICO,2
2015,PP,ACADEMICO,2
2015,RI,ACADEMICO,1
2016,CP,ACADEMICO,1
2016,PP,PROFISSIONAL,1
2016,RI,PROFISSIONAL,1
2017,CP,ACADEMICO,2
2017,OUTROS,PROFISSIONAL,1
2017,PP,ACADEMICO,1
2017,PP,PROFISSIONAL,1
2018,OUTROS,PROFISSIONAL,1
2018,RI,ACADEMICO,1
2018,SEGPUB,PROFISSIONAL,1
2019,CP,ACADEMICO,1
2019,DEFESA,ACADEMICO,1
2019,PP,ACADEMICO,1
2019,RI,ACADEMICO,2
2019,RI,PROFISSIONAL,1
2019,SEGPUB,PROFISSIONAL,1
2020,PP,PROFISSIONAL,1
2021,CP,ACADEMICO,1
2021,PP,PROFISSIONAL,1
2024,CP,PROFISSIONAL,2
2024,DEFESA,ACADEMICO,1
