ano,nivel,n_total,n_classificado,n_fem,taxa_classificacao,prop,ic_inf,ic_sup
1987,Doutorado,6,6,1,1,0.16666666666666666,0.030053369748306635,0.5635028221864702
1987,Mestrado,20,20,8,1,0.4,0.2188065323728171,0.6134184992377468
1988,Doutorado,5,5,3,1,0.6,0.23072428127601297,0.8823792257673521
1988,Mestrado,19,19,7,1,0.3684210526315789,0.19149512745135072,0.5896046683519691
1989,Doutorado,5,5,3,1,0.6,0.23072428127601297,0.8823792257673521
1989,Mestrado,18,18,5,1,0.2777777777777778,0.12499753379553999,0.5087265656029745
1990,Doutorado,5,5,1,1,0.2,0.03622410863243014,0.6244653702374745
1990,Mestrado,26,26,12,1,0.46153846153846156,0.28755853530391223,0.6454206125314121
1991,Doutorado,4,4,2,1,0.5,0.15003898915214958,0.8499610108478504
1991,Mestrado,53,51,22,0.9622641509433962,0.43137254901960786,0.30501236107909546,0.5673469789069775
1992,Doutorado,11,11,7,1,0.6363636363636364,0.35380117450784904,0.8483352890463243
1992,Mestrado,69,68,19,0.9855072463768116,0.27941176470588236,0.1867794792380012,0.39563434569732403
1993,Doutorado,6,6,4,1,0.6666666666666666,0.2999933151383921,0.9032285888942196
1993,Mestrado,32,32,10,1,0.3125,0.17952541633609737,0.48566678300955407
1994,Doutorado,2,2,1,1,0.5,0.09453120573423074,0.9054687942657693
1994,Mestrado,60,60,20,1,0.3333333333333333,0.22729261523522679,0.459431335478803
1995,Doutorado,6,6,3,1,0.5,0.18761630648265054,0.8123836935173494
1995,Mestrado,68,66,23,0.9705882352941176,0.3484848484848485,0.24475874061929542,0.4688783978696566
1996,Doutorado,5,5,0,1,0,2.7755575615628914e-17,0.43448246478317465
1996,Mestrado,86,85,32,0.9883720930232558,0.3764705882352941,0.2809229508338965,0.4827009216378103
1997,Doutorado,29,28,8,0.9655172413793104,0.2857142857142857,0.15253996056669092,0.4705928843329571
1997,Mestrado,89,89,35,1,0.39325842696629215,0.2982154443824812,0.497134604600539
1998,Doutorado,27,27,8,1,0.2962962962962963,0.15853040469779772,0.48480682964148153
