regiao,periodo,n_total,n_classificado,n_fem,taxa_classificacao,prop,ic_inf,ic_sup
CENTRO-OESTE,2013-2018,471,469,195,0.9957537154989384,0.4157782515991471,0.3720339941098919,0.46089097783095145
CENTRO-OESTE,2019-2024,612,612,274,1,0.4477124183006536,0.4087640610236489,0.48731308824370173
NORDESTE,2013-2018,529,528,286,0.998109640831758,0.5416666666666666,0.4990185068120218,0.5837129148743687
NORDESTE,2019-2024,941,939,514,0.997874601487779,0.5473908413205538,0.5154255606674583,0.5789699489565259
NORTE,2013-2018,100,99,36,0.99,0.36363636363636365,0.2756189558785466,0.4618410110490428
NORTE,2019-2024,127,127,73,1,0.5748031496062992,0.4878694057410444,0.6573445055929594
SUDESTE,2013-2018,1769,1753,761,0.9909553420011306,0.43411294922989163,0.41108005741282594,0.4574339744935805
SUDESTE,2019-2024,2467,2450,1171,0.993109039319011,0.4779591836734694,0.45822976597688714,0.4977576106273437
SUL,2013-2018,673,672,322,0.9985141158989599,0.4791666666666667,0.4416215971657243,0.5169485680193795
SUL,2019-2024,974,960,482,0.9856262833675564,0.5020833333333333,0.470509612491053,0.533640447628683
