quinquenio,quinquenio_rot,subarea,n_total,n_classificado,n_fem,taxa_classificacao,prop,ic_inf,ic_sup
1985,1985-1989,CP,61,61,25,1,0.4098360655737705,0.2953533743182536,0.5350020772699307
1985,1985-1989,RI,12,12,2,1,0.16666666666666666,0.046965142183853836,0.44803086225297334
1990,1990-1994,CP,226,224,79,0.9911504424778761,0.35267857142857145,0.2930713917237088,0.4172534967245326
1990,1990-1994,RI,42,41,19,0.9761904761904762,0.4634146341463415,0.32056233976336057,0.6125352873233053
1995,1995-1999,CP,401,398,140,0.9925187032418953,0.35175879396984927,0.30646575243994506,0.39988609998886876
1995,1995-1999,RI,101,100,43,0.9900990099009901,0.43,0.33733298524110106,0.5278461045078767
2000,2000-2004,CP,556,551,211,0.9910071942446043,0.38294010889292196,0.34329485989894165,0.42420629209826627
2000,2000-2004,RI,200,197,66,0.985,0.3350253807106599,0.27282720776527675,0.403534433991019
2005,2005-2009,CP,852,849,344,0.9964788732394366,0.40518256772673733,0.3726587270907091,0.4385605818033143
2005,2005-2009,RI,451,450,197,0.9977827050997783,0.43777777777777777,0.39265812576828785,0.4839507672457707
2010,2010-2014,CP,1174,1170,471,0.9965928449744463,0.4025641025641026,0.37482639532273176,0.4309395381542973
2010,2010-2014,DEFESA,92,90,26,0.9782608695652174,0.28888888888888886,0.20542127259162146,0.3896404359799831
2010,2010-2014,OUTROS,23,23,8,1,0.34782608695652173,0.1881127593879774,0.5510966462273699
2010,2010-2014,PP,93,93,48,1,0.5161290322580645,0.4159554924872243,0.6150229751704616
2010,2010-2014,RI,662,654,273,0.9879154078549849,0.41743119266055045,0.3802265682725647,0.455600136548365
2015,2015-2019,CP,1552,1546,707,0.9961340206185567,0.4573091849935317,0.4326128333798344,0.4822171647152987
2015,2015-2019,DEFESA,391,388,123,0.9923273657289002,0.3170103092783505,0.2726973967796157,0.36491113901092986
2015,2015-2019,OUTROS,122,122,54,1,0.4426229508196721,0.3575751651998452,0.5311737405169267
2015,2015-2019,PP,562,560,357,0.99644128113879,0.6375,0.5968728826849145,0.6762535389196612
2015,2015-2019,RI,928,918,461,0.9892241379310345,0.5021786492374728,0.4698931122976226,0.5344460286270187
2020,2020-2024,CP,1429,1419,670,0.9930020993701889,0.47216349541930935,0.4462987930910727,0.49817850653338547
2020,2020-2024,DEFESA,550,547,178,0.9945454545454545,0.32541133455210236,0.28748347439281197,0.36577428799690503
2020,2020-2024,OUTROS,88,88,40,1,0.45454545454545453,0.3545940374421491,0.5582993322546592
2020,2020-2024,PP,945,943,525,0.9978835978835979,0.5567338282078473,0.5248606956263634,0.5881466077645022
2020,2020-2024,RI,1064,1055,580,0.9915413533834586,0.5497630331753555,0.5196151088591756,0.5795498786139688
2020,2020-2024,SEGPUB,84,83,37,0.9880952380952381,0.4457831325301205,0.34361302926830795,0.5527498356326289
