ano,n_total,n_classificado,n_fem,taxa_classificacao,prop,ic_inf,ic_sup,n_cls,prop_sem_rec
1987,26,26,9,1,0.34615384615384615,0.19412230322940524,0.5377942881118918,23,0.30434782608695654
1988,24,24,10,1,0.4166666666666667,0.24467602609811764,0.6116533413477123,23,0.43478260869565216
1989,23,23,8,1,0.34782608695652173,0.1881127593879774,0.5510966462273699,23,0.34782608695652173
1990,31,31,13,1,0.41935483870967744,0.2641554306731223,0.5923373750463028,29,0.4482758620689655
1991,57,55,24,0.9649122807017544,0.43636363636363634,0.3137344236063191,0.5673018365358555,54,0.42592592592592593
1992,80,79,26,0.9875,0.3291139240506329,0.23554200381797016,0.4385342330764084,76,0.34210526315789475
1993,38,38,14,1,0.3684210526315789,0.23384219247155952,0.5271604044299099,38,0.3684210526315789
1994,62,62,21,1,0.3387096774193548,0.2334170187520891,0.4628230045064181,56,0.32142857142857145
1995,74,72,26,0.972972972972973,0.3611111111111111,0.25981679706174077,0.4764751953261641,70,0.37142857142857144
1996,91,90,32,0.989010989010989,0.35555555555555557,0.26443868959648187,0.4584982688998792,90,0.35555555555555557
1997,118,117,43,0.9915254237288136,0.36752136752136755,0.28566809393867315,0.4577974326899144,115,0.3739130434782609
1998,111,111,40,1,0.36036036036036034,0.2770990015212276,0.4529636403300803,107,0.37383177570093457
1999,108,108,42,1,0.3888888888888889,0.30227648821425424,0.4831340361738695,103,0.3883495145631068
2000,116,116,37,1,0.31896551724137934,0.2411218311506212,0.40841514534062734,113,0.3274336283185841
2001,130,130,48,1,0.36923076923076925,0.2911386855184367,0.45482941510164543,124,0.3709677419354839
2002,115,114,49,0.991304347826087,0.4298245614035088,0.34270114807885355,0.5215232075925628,111,0.44144144144144143
2003,183,181,66,0.9890710382513661,0.36464088397790057,0.29800796600796137,0.43689999072087754,176,0.3693181818181818
2004,212,207,77,0.9764150943396226,0.3719806763285024,0.30903103812149707,0.43959525057690924,203,0.3793103448275862
2005,277,277,113,1,0.40794223826714804,0.35171001804209556,0.46669286230841056,274,0.4124087591240876
2006,283,283,122,1,0.43109540636042404,0.3747003524689652,0.48933603836399636,279,0.4336917562724014
2007,226,225,95,0.995575221238938,0.4222222222222222,0.35952163905410406,0.48753404665788136,224,0.42410714285714285
2008,234,232,92,0.9914529914529915,0.39655172413793105,0.3357818848481461,0.46069155862519373,227,0.4052863436123348
2009,283,282,119,0.9964664310954063,0.4219858156028369,0.3657709461753086,0.4802975696322571,275,0.4290909090909091
2010,306,305,112,0.9967320261437909,0.36721311475409835,0.31507829467215887,0.42265121771488545,302,0.3708609271523179
2011,374,373,149,0.9973262032085561,0.39946380697050937,0.3510268113938569,0.44995050082993987,363,0.41046831955922863
2012,416,412,183,0.9903846153846154,0.4441747572815534,0.39693141953838595,0.49244949950115935,403,0.4392059553349876
2013,481,478,178,0.9937629937629938,0.3723849372384937,0.3302246588470707,0.416580026041202,467,0.37259100642398285
2014,467,462,204,0.9892933618843683,0.44155844155844154,0.39694449547029326,0.48713623848433524,451,0.4434589800443459
2015,541,541,230,1,0.42513863216266173,0.38415241251174603,0.46718048683236035,524,0.4255725190839695
2016,610,606,270,0.9934426229508196,0.44554455445544555,0.4064386720751854,0.485336478588349,579,0.4542314335060449
2017,634,631,330,0.9952681388012619,0.5229793977812995,0.4839869427839556,0.5616937537065847,619,0.5218093699515347
2018,809,803,388,0.992583436341162,0.48318804483188044,0.4487871144311135,0.5177490622801524,793,0.48675914249684743
2019,961,953,484,0.991675338189386,0.5078698845750262,0.47616125471630705,0.539515323531554,927,0.5145631067961165
2020,699,693,324,0.9914163090128756,0.4675324675324675,0.43066568069153566,0.5047572201270291,671,0.46795827123695977
2021,776,772,376,0.9948453608247423,0.48704663212435234,0.4519396213325774,0.5222819161057536,763,0.49148099606815204
2022,815,814,391,0.9987730061349693,0.48034398034398035,0.4461950832123091,0.5146775288876655,795,0.4880503144654088
2023,868,864,440,0.9953917050691244,0.5092592592592593,0.47595815847166284,0.5424783887079826,853,0.5134818288393904
2024,1002,992,499,0.9900199600798403,0.5030241935483871,0.47195870420230335,0.5340663512388563,976,0.507172131147541
