Estado,UF,Regiao,PPGs (2024),Titulos Historicos
Rio de Janeiro,RJ,Sudeste,14,3080
São Paulo,SP,Sudeste,10,2479
Distrito Federal,DF,Centro-Oeste,9,1921
Rio Grande do Sul,RS,Sul,7,1388
Paraná,PR,Sul,5,593
Minas Gerais,MG,Sudeste,4,963
Bahia,BA,Nordeste,3,302
Paraíba,PB,Nordeste,3,287
Pernambuco,PE,Nordeste,2,606
Ceará,CE,Nordeste,2,394
Pará,PA,Norte,1,204
Santa Catarina,SC,Sul,1,145
Piauí,PI,Nordeste,1,126
Goiás,GO,Centro-Oeste,1,97
Amapá,AP,Norte,1,54
Maranhão,MA,Nordeste,0,22
Rondônia,RO,Norte,0,0
Acre,AC,Norte,0,0
Amazonas,AM,Norte,0,0
Roraima,RR,Norte,0,0
Tocantins,TO,Norte,0,0
Rio Grande do Norte,RN,Nordeste,0,0
Alagoas,AL,Nordeste,0,0
Sergipe,SE,Nordeste,0,0
Espírito Santo,ES,Sudeste,0,0
Mato Grosso do Sul,MS,Centro-Oeste,0,0
Mato Grosso,MT,Centro-Oeste,0,0
