cd_programa_ies,nm_programa_ies,subarea
33001014026P2,CIENCIA POLITICA,CP
15001016053P9,CIÊNCIA POLÍTICA,CP
21001014014P0,CIÊNCIA POLÍTICA,CP
25001019033P6,CIÊNCIA POLÍTICA,CP
31003010033P0,CIÊNCIA POLÍTICA,CP
31004016061P6,CIÊNCIA POLÍTICA,CP
32001010011P2,CIÊNCIA POLÍTICA,CP
33002010030P6,CIÊNCIA POLÍTICA,CP
33003017017P6,CIÊNCIA POLÍTICA,CP
40001016061P2,CIÊNCIA POLÍTICA,CP
42001013033P4,CIÊNCIA POLÍTICA,CP
42003016037P2,CIÊNCIA POLÍTICA,CP
52001016055P6,CIÊNCIA POLÍTICA,CP
53001010026P2,CIÊNCIA POLÍTICA,CP
24009016171P8,CIÊNCIA POLÍTICA,CP
31021018157P8,CIÊNCIA POLÍTICA,CP
21001014082P6,CIÊNCIA POLÍTICA,CP
28001010177P0,CIÊNCIA POLÍTICA,CP
35133007003P8,CIÊNCIA POLÍTICA,CP
24001015080P1,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,CP
53019016006P0,CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS,CP
53037014001P0,PODER LEGISLATIVO,CP
31096018001P2,CIÊNCIAS AEROESPACIAIS,DEFESA
31098010001P5,CIÊNCIAS MILITARES,DEFESA
31003010057P6,DEFESA E SEGURANÇA CIVIL,DEFESA
31003010062P0,ESTUDOS ESTRATÉGICOS DA DEFESA E DA SEGURANÇA,DEFESA
42001013101P0,ESTUDOS ESTRATÉGICOS INTERNACIONAIS,DEFESA
31070019001P0,ESTUDOS MARÍTIMOS,DEFESA
33324000001P2,SEGURANÇA INTERNACIONAL E DEFESA,DEFESA
53093003001P0,"SEGURANÇA, DESENVOLVIMENTO E DEFESA",DEFESA
20002017007P8,CARTOGRAFIA SOCIAL E POLÍTICA DA AMAZÔNIA,OUTROS
53017013001P6,"DIREITOS HUMANOS, CIDADANIA E VIOLÊNCIA",OUTROS
14001012156P0,ESTUDOS DE FRONTEIRA,OUTROS
33011010014P0,SEGURANÇA DE AVIAÇÃO E AERONAVEGABILIDADE CONTINUADA,OUTROS
53013018002P7,AVALIAÇÃO E MONITORAMENTO DE POLÍTICAS PÚBLICAS,PP
28022017008P0,GESTÃO DE POLÍTICAS PÚBLICAS E SEGURANÇA SOCIAL,PP
53013018001P0,GOVERNANÇA E DESENVOLVIMENTO,PP
22003010019P8,PLANEJAMENTO E POLITICAS PÚBLICAS,PP
40004015033P8,POLÍTICAS PÚBLICAS,PP
25001019091P6,POLÍTICAS PÚBLICAS,PP
33144010019P3,POLÍTICAS PÚBLICAS,PP
42001013156P9,POLÍTICAS PÚBLICAS,PP
42046017012P6,POLÍTICAS PÚBLICAS,PP
22003010074P9,POLÍTICAS PÚBLICAS,PP
53013018003P3,POLÍTICAS PÚBLICAS,PP
40001016076P0,POLÍTICAS PÚBLICAS,PP
53062000001P8,POLÍTICAS PÚBLICAS E GOVERNO,PP
31001017160P5,POLÍTICAS PÚBLICAS EM DIREITOS HUMANOS,PP
31005012157P0,ANÁLISE E GESTÃO DE POLÍTICAS INTERNACIONAIS: RESOLUÇÃO DE CONFLITOS E COOPERAÇÃO PARA O DESENVOLVIM,RI
31001017137P3,ECONOMIA POLÍTICA INTERNACIONAL,RI
33005010046P2,GOVERNANÇA GLOBAL E FORMULAÇÃO DE POLÍTICAS INTERNACIONAIS,RI
40043010002P6,INTEGRAÇÃO CONTEMPORÂNEA DA AMÉRICA LATINA - ICAL,RI
24004014007P1,RELAÇOES INTERNACIONAIS,RI
31004016057P9,RELAÇÕES INTERNACIONAIS,RI
31005012026P2,RELAÇÕES INTERNACIONAIS,RI
33002010208P0,RELAÇÕES INTERNACIONAIS,RI
41001010083P2,RELAÇÕES INTERNACIONAIS,RI
53001010025P6,RELAÇÕES INTERNACIONAIS,RI
28001010094P7,RELAÇÕES INTERNACIONAIS,RI
32006012072P3,RELAÇÕES INTERNACIONAIS,RI
33144010173P2,RELAÇÕES INTERNACIONAIS,RI
40043010009P0,RELAÇÕES INTERNACIONAIS,RI
42002010163P5,RELAÇÕES INTERNACIONAIS,RI
33004110044P0,RELAÇÕES INTERNACIONAIS (UNESP - UNICAMP - PUC-SP),RI
32008015017P5,RELAÇÕES INTERNACIONAIS: POLÍTICA INTERNACIONAL,RI
42001013175P3,SEGURANÇA CIDADÃ,SEGPUB
32025017005P1,SEGURANÇA PÚBLICA E CIDADANIA,SEGPUB
