ano,area,n_estados,fonte
1980,Ciência Política,2,"Marenco (2014), Gráfico 3"
1990,Ciência Política,2,"Marenco (2014), Gráfico 3"
2000,Ciência Política,3,"Marenco (2014), Gráfico 3"
2010,Ciência Política,6,"Marenco (2014), Gráfico 3"
1980,Sociologia,2,"Marenco (2014), Gráfico 3"
1990,Sociologia,5,"Marenco (2014), Gráfico 3"
2000,Sociologia,11,"Marenco (2014), Gráfico 3"
2010,Sociologia,17,"Marenco (2014), Gráfico 3"
1980,Antropologia,2,"Marenco (2014), Gráfico 3"
1990,Antropologia,3,"Marenco (2014), Gráfico 3"
2000,Antropologia,4,"Marenco (2014), Gráfico 3"
2010,Antropologia,7,"Marenco (2014), Gráfico 3"
