ano,area,ratio,fonte
2004,Ciência Política,0.11,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2005,Ciência Política,0.22,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2006,Ciência Política,0.19,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2007,Ciência Política,0.27,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2008,Ciência Política,0.21,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2009,Ciência Política,0.17,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2010,Ciência Política,0.19,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2011,Ciência Política,0.22,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2012,Ciência Política,0.21,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2004,Sociologia,0.39,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2005,Sociologia,0.37,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2006,Sociologia,0.37,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2007,Sociologia,0.32,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2008,Sociologia,0.38,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2009,Sociologia,0.36,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2010,Sociologia,0.34,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2011,Sociologia,0.34,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2012,Sociologia,0.33,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2004,Antropologia,0.27,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2005,Antropologia,0.3,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2006,Antropologia,0.27,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2007,Antropologia,0.28,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2008,Antropologia,0.22,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2009,Antropologia,0.25,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2010,Antropologia,0.3,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2011,Antropologia,0.22,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2012,Antropologia,0.21,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2004,Sistema (média),0.27,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2005,Sistema (média),0.27,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2006,Sistema (média),0.25,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2007,Sistema (média),0.25,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2008,Sistema (média),0.25,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2009,Sistema (média),0.25,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2010,Sistema (média),0.24,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2011,Sistema (média),0.23,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
2012,Sistema (média),0.23,"Marenco (2014), Gráfico 4 — tabela impressa na figura"
