ano,ratio,serie
2004,0.11,Ciência Política estrita (Marenco 2014)
2005,0.22,Ciência Política estrita (Marenco 2014)
2006,0.19,Ciência Política estrita (Marenco 2014)
2007,0.27,Ciência Política estrita (Marenco 2014)
2008,0.21,Ciência Política estrita (Marenco 2014)
2009,0.17,Ciência Política estrita (Marenco 2014)
2010,0.19,Ciência Política estrita (Marenco 2014)
2011,0.22,Ciência Política estrita (Marenco 2014)
2012,0.21,Ciência Política estrita (Marenco 2014)
2013,0.22954545454545455,Área 39 completa (este estudo)
2014,0.2028985507246377,Área 39 completa (este estudo)
2015,0.26765799256505574,Área 39 completa (este estudo)
2016,0.2392857142857143,Área 39 completa (este estudo)
2017,0.2365079365079365,Área 39 completa (este estudo)
2018,0.30493273542600896,Área 39 completa (este estudo)
2019,0.2812089356110381,Área 39 completa (este estudo)
2020,0.19716494845360824,Área 39 completa (este estudo)
2021,0.1917808219178082,Área 39 completa (este estudo)
2022,0.2,Área 39 completa (este estudo)
2023,0.21248499399759904,Área 39 completa (este estudo)
2024,0.24462061155152887,Área 39 completa (este estudo)
