serie,quebra,ic_inf,ic_sup,n_quebras,bic_otimo
Antropologia / Arqueologia,2006,2004,2008,3,-61.24587060449733
Antropologia / Arqueologia,2011,2010,2012,3,-61.24587060449733
Antropologia / Arqueologia,2019,2018,2020,3,-61.24587060449733
Ciência Política / RI,2001,1999,2002,3,-31.095644354227375
Ciência Política / RI,2006,2005,2008,3,-31.095644354227375
Ciência Política / RI,2019,2018,2021,3,-31.095644354227375
Economia,2003,2002,2004,2,-55.89208711412481
Economia,2008,2007,2009,2,-55.89208711412481
Geografia,2000,1999,2001,3,-53.08111206726794
Geografia,2012,2011,2013,3,-53.08111206726794
Geografia,2019,2018,2020,3,-53.08111206726794
História,2016,2015,2017,1,-54.59488267813448
Sociologia,2001,2000,2002,2,-66.95317356699081
Sociologia,2016,2015,2017,2,-66.95317356699081
