ano,area,ratio,fonte
2013,Área 39 completa (este estudo),0.22954545454545455,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2014,Área 39 completa (este estudo),0.2028985507246377,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2015,Área 39 completa (este estudo),0.26765799256505574,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2016,Área 39 completa (este estudo),0.2392857142857143,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2017,Área 39 completa (este estudo),0.2365079365079365,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2018,Área 39 completa (este estudo),0.30493273542600896,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2019,Área 39 completa (este estudo),0.2812089356110381,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2020,Área 39 completa (este estudo),0.19716494845360824,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2021,Área 39 completa (este estudo),0.1917808219178082,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2022,Área 39 completa (este estudo),0.2,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2023,Área 39 completa (este estudo),0.21248499399759904,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
2024,Área 39 completa (este estudo),0.24462061155152887,Este estudo — CAPES (doutores titulados) / Sucupira (docentes permanentes)
