ano,titulos_principal,titulos_comparada,diferenca
1987,26,26,0
1988,24,24,0
1989,23,23,0
1990,31,31,0
1991,57,57,0
1992,80,80,0
1993,38,38,0
1994,62,62,0
1995,74,74,0
1996,91,91,0
1997,118,118,0
1998,111,111,0
1999,108,108,0
2000,116,115,1
2001,130,129,1
2002,115,115,0
2003,183,183,0
2004,212,212,0
2005,277,276,1
2006,283,279,4
2007,226,225,1
2008,234,232,2
2009,283,282,1
2010,306,305,1
2011,374,373,1
2012,416,415,1
2013,481,481,0
2014,467,467,0
2015,541,541,0
2016,610,610,0
2017,634,634,0
2018,809,794,15
2019,961,961,0
2020,699,698,1
2021,776,776,0
2022,815,815,0
2023,868,868,0
2024,1002,1002,0
