ano,titulos,titulos_acum,programas_unicos,ies_unicas,artigos
1977,0,NA,0,0,15
1978,0,NA,0,0,26
1979,0,NA,0,0,14
1980,0,NA,0,0,25
1981,0,NA,0,0,18
1982,0,NA,0,0,15
1983,0,NA,0,0,14
1984,0,NA,0,0,83
1985,0,NA,0,0,99
1986,0,NA,0,0,49
1987,26,26,0,0,50
1988,24,50,0,0,26
1989,23,73,0,0,38
1990,31,104,0,0,21
1991,57,161,0,0,20
1992,80,241,0,0,29
1993,38,279,0,0,44
1994,62,341,0,0,54
1995,74,415,0,0,45
1996,91,506,0,0,45
1997,118,624,0,0,59
1998,111,735,0,0,55
1999,108,843,0,0,94
2000,116,959,0,0,104
2001,130,1089,0,0,70
2002,115,1204,0,0,86
2003,183,1387,0,0,95
2004,212,1599,0,0,103
2005,277,1876,0,0,94
2006,283,2159,0,0,112
2007,226,2385,0,0,115
2008,234,2619,0,0,134
2009,283,2902,0,0,150
2010,306,3208,0,0,144
2011,374,3582,0,0,167
2012,416,3998,0,0,172
2013,481,4479,32,27,172
2014,467,4946,37,31,178
2015,541,5487,40,32,180
2016,610,6097,43,34,178
2017,634,6731,48,39,167
2018,809,7540,50,38,156
2019,961,8501,58,44,162
2020,699,9200,59,44,179
2021,776,9976,61,44,167
2022,815,10791,60,43,178
2023,868,11659,60,43,169
2024,1002,12661,64,46,169
