topico,ano,prevalencia,rotulo
"T1: Políticas Públicas, Educação e Saúde",1997,0.032757469040164015," 3,3% (1995-97)"
"T2: Política Externa, Cooperação e Integração Regional",1997,0.12033765435372355,"12,0% (1995-97)"
T3: Economia Política Internacional e Desenvolvimento,1997,0.13290602912863167,"13,3% (1995-97)"
"T4: Defesa, Forças Armadas e Operações de Paz",1997,0.03598525043061726," 3,6% (1995-97)"
"T5: Eleições, Partidos e Instituições Representativas",1997,0.13263119609966903,"13,3% (1995-97)"
T6: Teoria e Pensamento Político,1997,0.35143042679484393,"35,1% (1995-97)"
"T7: Direitos, Gênero e Violência",1997,0.04266421458738181," 4,3% (1995-97)"
"T8: Participação, Movimentos e Arranjos Institucionais",1997,0.1512877595649687,"15,1% (1995-97)"
"T1: Políticas Públicas, Educação e Saúde",2022,0.1822927459352412,"18,2% (2022-24)"
"T2: Política Externa, Cooperação e Integração Regional",2022,0.09901826318595996," 9,9% (2022-24)"
T3: Economia Política Internacional e Desenvolvimento,2022,0.09630820801340388," 9,6% (2022-24)"
"T4: Defesa, Forças Armadas e Operações de Paz",2022,0.10559744301900156,"10,6% (2022-24)"
"T5: Eleições, Partidos e Instituições Representativas",2022,0.144497461884965,"14,4% (2022-24)"
T6: Teoria e Pensamento Político,2022,0.1413156005226728,"14,1% (2022-24)"
"T7: Direitos, Gênero e Violência",2022,0.12440540193282885,"12,4% (2022-24)"
"T8: Participação, Movimentos e Arranjos Institucionais",2022,0.10656487550592672,"10,7% (2022-24)"
