fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1984,0.07166326149758229,-0.02932668357839621,0.1765992974933279
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1985,0.06355839028945119,-0.017610067455383984,0.14739879906501074
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1986,0.05694269404012898,-0.00753727122646783,0.12229051053863768
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1987,0.051700743121113724,0.001724700520974241,0.10198587296405906
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1988,0.04771710790390355,0.009746441271205658,0.0861349895359961
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1989,0.04487635875999652,0.016744602941802578,0.07364296430502554
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1990,0.043063066060890755,0.02114472551309597,0.06515829207145966
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1991,0.042161800178084345,0.023371953377871048,0.06053657615775937
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1992,0.04205713148307538,0.025061982609000305,0.05863734990477296
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1993,0.04263363034736198,0.02687397468046078,0.05839755116916978
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1994,0.043775867142442214,0.029066932096487436,0.058699807316761554
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1995,0.0453684122398142,0.03156994798280949,0.059362491036394946
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1996,0.04729583601097601,0.03435953204948215,0.060655896062205686
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1997,0.049442708827425776,0.03674601037852325,0.06173097570479322
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1998,0.051693601060661565,0.03979986416604653,0.06336891659292367
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",1999,0.053933083082181484,0.0419856000087831,0.06559552635433981
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2000,0.05604572526348363,0.04377657236822024,0.06790313906154045
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2001,0.057916097976066096,0.045159658068501585,0.06993904198042283
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2002,0.05942877159142699,0.046673329814198694,0.07201912236535582
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2003,0.06046831648106439,0.0475856486821999,0.07307334166524546
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2004,0.06091930301647641,0.048604064733695836,0.07310906252144492
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2005,0.060781694205811414,0.04942360114697264,0.07213804282830458
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2006,0.06051702360381884,0.049604887029586084,0.07196495750782486
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2007,0.060702217401898406,0.049343676361174406,0.0722300222682926
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2008,0.061914201791449824,0.05020234342732506,0.0732805713451331
composição fixa,1,"T1: Políticas Públicas, Educação e Saúde",2009,0.06472990296387282,0.053269746426436594,0.076247069554985
