k_num,topico,posicao,theta,ano,fonte,subarea,trecho
1,"T1: Políticas Públicas, Educação e Saúde",1,0.977,2020,CAPES,PP,"ESTE ESTUDO TRATA DE POLÍTICA PÚBLICA EDUCACIONAL, TENDO COMO OBJETO DE ESTUDO O PROGRAMA INCLUIR: ACESSIBILIDADE NA EDUCAÇÃO SUPERIOR, CUJO OBJETIVO É IMPLEMENTAR RECURSOS, SERVIÇOS, APOIOS TÉCNICOS QUE MINIMIZAM AS BARREIRAS ARQUITETÔNICAS, PEDAGÓGICAS E DE COMUNICAÇÃO E INFORMAÇÃO NAS INSTITUIÇÕES FEDERAIS DE ENSINO SUPERIOR. A PESQUISA FOI ORIENTADA PELA SEGUINTE PERGUNTA: QUAIS AS PERCEPÇÕES DA IMPLEMENTAÇÃO DO PROGRAMA INCLUIR NO CAMPUS RECIFE DA UNIVERSIDADE FEDERAL DE PERNAMBUCO (UFPE..."
1,"T1: Políticas Públicas, Educação e Saúde",2,0.975,2024,CAPES,PP,"ESTE ESTUDO FOI REALIZADO NA UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA - UFRB, E TEVE POR OBJETIVO FINAL A CONSTRUÇÃO DE UM GUIA DE INCLUSÃO LABORAL DOS SERVIDORES COM DEFICIÊNCIA DA UFRB. PARA A CONSTRUÇÃO DESSE GUIA FOI NECESSÁRIO A REALIZAÇÃO DE ESTUDO DA LITERATURA DISPONÍVEL, A QUAL FOI FEITO UM RECORTE PARA FUNDAMENTAR A PESQUISA, POSTERIORMENTE FOI NECESSÁRIO INVESTIGAR QUAL A PERCEPÇÃO DOS SERVIDORES COM DEFICIÊNCIA SEM RELAÇÃO À INCLUSÃO LABORAL, QUAL O NÍVEL DE APOIO QUE É OFERTA..."
1,"T1: Políticas Públicas, Educação e Saúde",3,0.975,2021,CAPES,PP,"ESTE ESTUDO TEVE COMO OBJETIVO ANALISAR A IMPLEMENTAÇÃO DO GUIA REFERENCIAL DOS CONTROLES INTERNOS DA GESTÃO (GRCI) QUANTO AO SANEAMENTO, PELA UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA (UEFS), DAS INCONSISTÊNCIAS INDICADAS NOS RELATÓRIOS DE CONTROLE INTERNO E EXTERNO PARA A ÁREA DE CONTRATOS. PARA TANTO, FORAM DISCUTIDOS ASPECTOS TEÓRICOS RELATIVOS À ESTRUTURA DE CONTROLE INTERNO E GERENCIAMENTO DE RISCOS, COM BASE NO MODELO INSTITUÍDO PELO COSO, RELACIONADOS ÀS PRÁTICAS DE CONTROLE INTERNO. ..."
1,"T1: Políticas Públicas, Educação e Saúde",4,0.974,2022,CAPES,PP,"ESSA DISSERTAÇÃO APRESENTA UMA PESQUISA QUE ABORDA A TEMÁTICA POLÍTICA DE INCLUSÃO DOS ALUNOS COM DEFICIÊNCIA NA UNIVERSIDADE FEDERAL DO AMAPÁ: UM ESTUDO DE CASO SOBRE O PROGRAMA INCLUIR (2016-2019). O OBJETIVO DA PESQUISA CONSISTE NA INVESTIGAÇÃO NA FORMA EM QUE O PROGRAMA INCLUIR ESTÁ SENDO DESENVOLVIDO NA UNIVERSIDADE FEDERAL DO AMAPÁ NO QUE SE REFERE O ATENDIMENTO DOS DISCENTES COM DEFICIÊNCIA NO ENSINO SUPERIOR. ACERCA DOS PROCEDIMENTOS METODOLÓGICOS DA PESQUISA, REALIZOU-SE UM ESTUDO DE..."
1,"T1: Políticas Públicas, Educação e Saúde",5,0.973,2019,CAPES,PP,"A ADMINISTRAÇÃO PÚBLICA BUSCA SE ADEQUAR ÀS MODIFICAÇÕES ADVINDAS DO AVANÇO TECNOLÓGICO, O QUE GERA NOVAS DEMANDAS E A NECESSIDADE DE PROFISSIONAIS QUALIFICADOS E ATUANTES, VISANDO A OTIMIZAÇÃO DE RECURSOS E A MELHORIA DO SERVIÇO PÚBLICO. NESSE CENÁRIO, O PROGRAMA NACIONAL DE FORMAÇÃO EM ADMINISTRAÇÃO PÚBLICA OBJETIVA A FORMAÇÃO E QUALIFICAÇÃO DE PESSOAS PARA MELHORIA DAS ATIVIDADES NOS TRÊS NÍVEIS DE GOVERNO. PARA DISCUTIR ESSA CONJUNTURA, O OBJETIVO DESTA PESQUISA É ANALISAR AS PERCEPÇÕES D..."
1,"T1: Políticas Públicas, Educação e Saúde",6,0.973,2019,CAPES,PP,"O PROGRAMA AVANCE - BOLSA UNIVERSITÁRIO INSERE-SE COMO POLÍTICA PÚBLICA DESENVOLVIDA PELO GOVERNO DO ESTADO DO CEARÁ, COM PROPÓSITO DE CONTRIBUIR PARA MELHORAR AS CONDIÇÕES DA PERMANÊNCIA NO ENSINO SUPERIOR DE ALUNOS EGRESSOS DAS ESCOLAS DE ENSINO MÉDIO PÚBLICO CEARENSE EM SITUAÇÃO DE VULNERABILIDADE SOCIOECONÔMICA. ASSIM, ESTA PESQUISA OBJETIVOU ANALISAR O PROGRAMA AVANCE - BOLSA UNIVERSITÁRIO COMO INDUTOR DA PERMANÊNCIA NO ENSINO SUPERIOR, DOS ALUNOS EGRESSOS DAS ESCOLAS ESTADUAIS DE EDUCAÇ..."
1,"T1: Políticas Públicas, Educação e Saúde",7,0.973,2020,CAPES,PP,"A PESQUISA AVALIOU A EXECUÇÃO DE UMA DAS METAS PREVISTAS NO PLANO DE DESENVOLVIMENTO INSTITUCIONAL (PDI) DO INSTITUTO FEDERAL DE PERNAMBUCO (IFPE), ELABORADO PARA O PERÍODO DE 2014 A 2018, QUE DIZ RESPEITO AO APRIMORAMENTO DA EDUCAÇÃO PROFISSIONAL DE NÍVEL TÉCNICO, E A META 11 DO PLANO NACIONAL DE EDUCAÇÃO (PNE), DO PERÍODO DE 2014 A 2024, QUE BUSCA TRIPLICAR O NÚMERO DE MATRÍCULAS DA EDUCAÇÃO PROFISSIONAL TÉCNICA (EPT) DE NÍVEL MÉDIO, ASSEGURANDO A QUALIDADE DA OFERTA E A EXPANSÃO EM PELO ME..."
1,"T1: Políticas Públicas, Educação e Saúde",8,0.973,2017,CAPES,PP,"O PLANEJAMENTO ORÇAMENTÁRIO É UMA FERRAMENTA DE GESTÃO QUE TEM COMO OBJETIVO ALOCAR DE FORMA EFICIENTE OS RECURSOS PÚBLICOS PARA A CONCRETIZAÇÃO DE POLÍTICAS PÚBLICAS, QUE PODEM TER SUA IMPLEMENTAÇÃO MAXIMIZADA POR INTERMÉDIO DA INTEGRAÇÃO DA EXECUÇÃO DO ORÇAMENTO COM O PLANEJAMENTO INSTITUCIONAL. ESTE TRABALHO VISOU AVALIAR O NÍVEL DE INTEGRAÇÃO DA EXECUÇÃO ORÇAMENTÁRIA E FINANCEIRA COM O PLANEJAMENTO DOS PROGRAMAS DE GOVERNO E AÇÕES DO INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA ..."
1,"T1: Políticas Públicas, Educação e Saúde",9,0.973,2019,CAPES,PP,"ESTE ESTUDO BUSCOU CONHECER A POLÍTICA DE QUALIDADE DE VIDA NO TRABALHO DESENVOLVIDA NA UNIVERSIDADE FEDERAL DO AMAPÁ (UNIFAP), BEM COMO VERIFICAR A PERCEPÇÃO DOS SERVIDORES TÉCNICO-ADMINISTRATIVOS DO CAMPUS BINACIONAL QUANTO À SUA QVT. PARA ESTA INVESTIGAÇÃO, FOI APLICADO QUESTIONÁRIO EM ESCALA LIKERT, COM 40 SERVIDORES TÉCNICOS, COM BASE NO MODELO TEÓRICO DE QVT DE RICHARD WALTON (1973). NO MESMO QUESTIONÁRIO, FORAM TAMBÉM APRESENTADAS QUESTÕES ABERTAS PARA CAPTAÇÃO DE INFORMAÇÕES ACERCA DA..."
1,"T1: Políticas Públicas, Educação e Saúde",10,0.971,2020,CAPES,PP,"COMO AS POLÍTICAS PÚBLICAS DE INCLUSÃO PARA PESSOA COM DEFICIÊNCIA ESTÃO SENDO IMPLEMENTADAS NOS CURSOS DE GRADUAÇÃO? PARA RESPONDER ESTA QUESTÃO, A DISSERTAÇÃO ANALISOU A IMPLEMENTAÇÃO DAS POLÍTICAS PÚBLICAS DE INCLUSÃO PARA PESSOA COM DEFICIÊNCIA-PCD, NOS CURSOS DE GRADUAÇÃO DA UNIVERSIDADE FEDERAL DE PERNAMBUCO-UFPE, PROJETADAS PELO PROGRAMA INCLUIR E CONSOLIDADAS NOS PROJETOS PEDAGÓGICOS DOS CURSOS-PPC. PARA A COLETA DE DADOS FOI REALIZADA ANÁLISE BIBLIOGRÁFICA, DOCUMENTAL E QUESTIONÁRIO ..."
