K,exclus,semcoh,heldout,residual,bound,lbound,em.its,corpus
6,9.227173011994507,-94.61802953880431,-7.74869990770887,4.63578085532756,-12008829.871737223,-12008823.292486012,64,completo (multilíngue)
8,9.489070762216636,-87.93979500803978,-7.722183648077512,4.51527730143463,-11960089.489673933,-11960078.88507103,35,completo (multilíngue)
10,9.57041662324199,-88.60698191323863,-7.69611155433713,4.3279639807267145,-11910401.391958129,-11910386.287545556,49,completo (multilíngue)
12,9.674464909867483,-87.91331935936162,-7.66607025776376,4.268065554124867,-11861138.135027878,-11861118.147813382,60,completo (multilíngue)
15,9.716615203282053,-94.0810652169716,-7.615238593484424,4.106295964689971,-11809987.141053725,-11809959.241782341,59,completo (multilíngue)
20,9.774665780552677,-93.44139040268219,-7.5759092944871975,3.9494529304805264,-11739049.441737164,-11739007.106120704,81,completo (multilíngue)
25,9.812416223125668,-96.1568270367163,-7.562146291537623,3.804101246831913,-11686417.637455288,-11686359.633850066,62,completo (multilíngue)
6,9.335517528761553,-82.99045335741349,-7.799289862097304,4.4177121144066245,-11494826.961433973,-11494820.382182762,15,somente português
8,9.521906964013457,-83.15094419542869,-7.768989288230893,4.280046158365102,-11438057.965164548,-11438047.360561645,32,somente português
10,9.593246649585181,-88.23340420066094,-7.749416086073052,4.1887766169947085,-11400350.953348389,-11400335.848935816,34,somente português
12,9.62586890250881,-90.06526097359125,-7.724824286314242,4.067693993969577,-11366571.091490429,-11366551.104275933,32,somente português
15,9.70365368417591,-91.75103256164029,-7.700259364246997,3.9666703619649692,-11321269.534937335,-11321241.635665951,42,somente português
20,9.776136442544448,-97.32597150110533,-7.671220402545258,3.8123532100808886,-11262642.649667263,-11262600.314050803,38,somente português
25,9.820950333834103,-99.46978852838392,-7.646812119435696,3.6926160044743654,-11214859.192237211,-11214801.188631989,39,somente português
