ano,grau,titulos
1987,Doutorado,6
1987,Grau não informado,0
1987,Mestrado,20
1988,Doutorado,5
1988,Grau não informado,0
1988,Mestrado,19
1989,Doutorado,5
1989,Grau não informado,0
1989,Mestrado,18
1990,Doutorado,5
1990,Grau não informado,0
1990,Mestrado,26
1991,Doutorado,4
1991,Grau não informado,0
1991,Mestrado,53
1992,Doutorado,11
1992,Grau não informado,0
1992,Mestrado,69
1993,Doutorado,6
1993,Grau não informado,0
1993,Mestrado,32
1994,Doutorado,2
1994,Grau não informado,0
1994,Mestrado,60
1995,Doutorado,6
1995,Grau não informado,0
1995,Mestrado,68
1996,Doutorado,5
1996,Grau não informado,0
1996,Mestrado,86
1997,Doutorado,29
1997,Grau não informado,0
1997,Mestrado,89
1998,Doutorado,27
1998,Grau não informado,0
1998,Mestrado,84
1999,Doutorado,15
1999,Grau não informado,0
1999,Mestrado,93
2000,Doutorado,24
2000,Grau não informado,0
2000,Mestrado,92
2001,Doutorado,18
2001,Grau não informado,0
2001,Mestrado,112
2002,Doutorado,13
2002,Grau não informado,0
2002,Mestrado,102
2003,Doutorado,28
2003,Grau não informado,0
2003,Mestrado,155
2004,Doutorado,20
2004,Grau não informado,0
2004,Mestrado,192
2005,Doutorado,41
2005,Grau não informado,0
2005,Mestrado,236
2006,Doutorado,44
2006,Grau não informado,0
2006,Mestrado,239
2007,Doutorado,55
2007,Grau não informado,0
2007,Mestrado,171
2008,Doutorado,53
2008,Grau não informado,0
2008,Mestrado,181
2009,Doutorado,56
2009,Grau não informado,0
2009,Mestrado,227
2010,Doutorado,60
2010,Grau não informado,0
2010,Mestrado,246
2011,Doutorado,82
2011,Grau não informado,0
2011,Mestrado,292
2012,Doutorado,87
2012,Grau não informado,0
2012,Mestrado,329
2013,Doutorado,101
2013,Grau não informado,0
2013,Mestrado,380
2014,Doutorado,98
2014,Grau não informado,0
2014,Mestrado,369
2015,Doutorado,144
2015,Grau não informado,0
2015,Mestrado,397
2016,Doutorado,134
2016,Grau não informado,0
2016,Mestrado,476
2017,Doutorado,149
2017,Grau não informado,0
2017,Mestrado,485
2018,Doutorado,204
2018,Grau não informado,0
2018,Mestrado,605
2019,Doutorado,214
2019,Grau não informado,0
2019,Mestrado,747
2020,Doutorado,153
2020,Grau não informado,0
2020,Mestrado,546
2021,Doutorado,154
2021,Grau não informado,0
2021,Mestrado,622
2022,Doutorado,162
2022,Grau não informado,0
2022,Mestrado,653
2023,Doutorado,177
2023,Grau não informado,0
2023,Mestrado,691
2024,Doutorado,216
2024,Grau não informado,0
2024,Mestrado,786
