ano,grau_det,titulos
1987,Doutorado acadêmico,6
1987,Mestrado acadêmico,20
1988,Doutorado acadêmico,5
1988,Mestrado acadêmico,19
1989,Doutorado acadêmico,5
1989,Mestrado acadêmico,18
1990,Doutorado acadêmico,5
1990,Mestrado acadêmico,26
1991,Doutorado acadêmico,4
1991,Mestrado acadêmico,53
1992,Doutorado acadêmico,11
1992,Mestrado acadêmico,69
1993,Doutorado acadêmico,6
1993,Mestrado acadêmico,32
1994,Doutorado acadêmico,2
1994,Mestrado acadêmico,60
1995,Doutorado acadêmico,6
1995,Mestrado acadêmico,68
1996,Doutorado acadêmico,5
1996,Mestrado acadêmico,86
1997,Doutorado acadêmico,29
1997,Mestrado acadêmico,89
1998,Doutorado acadêmico,27
1998,Mestrado acadêmico,84
1999,Doutorado acadêmico,15
1999,Mestrado acadêmico,93
2000,Doutorado acadêmico,24
2000,Mestrado acadêmico,92
2001,Doutorado acadêmico,18
2001,Mestrado acadêmico,112
2002,Doutorado acadêmico,13
2002,Mestrado acadêmico,101
2002,Mestrado profissional,1
2003,Doutorado acadêmico,28
2003,Mestrado acadêmico,119
2003,Mestrado profissional,36
2004,Doutorado acadêmico,20
2004,Mestrado acadêmico,168
2004,Mestrado profissional,24
2005,Doutorado acadêmico,41
2005,Mestrado acadêmico,210
2005,Mestrado profissional,26
2006,Doutorado acadêmico,44
2006,Mestrado acadêmico,216
2006,Mestrado profissional,23
2007,Doutorado acadêmico,55
2007,Mestrado acadêmico,149
2007,Mestrado profissional,22
2008,Doutorado acadêmico,53
2008,Mestrado acadêmico,167
2008,Mestrado profissional,14
2009,Doutorado acadêmico,56
2009,Mestrado acadêmico,208
2009,Mestrado profissional,19
2010,Doutorado acadêmico,60
2010,Mestrado acadêmico,220
2010,Mestrado profissional,26
2011,Doutorado acadêmico,82
2011,Mestrado acadêmico,243
2011,Mestrado profissional,49
2012,Doutorado acadêmico,87
2012,Mestrado acadêmico,300
2012,Mestrado profissional,29
2013,Doutorado acadêmico,101
2013,Mestrado acadêmico,363
2013,Mestrado profissional,17
2014,Doutorado acadêmico,98
2014,Mestrado acadêmico,316
2014,Mestrado profissional,53
2015,Doutorado acadêmico,144
2015,Mestrado acadêmico,357
2015,Mestrado profissional,40
2016,Doutorado acadêmico,134
2016,Mestrado acadêmico,358
2016,Mestrado profissional,118
2017,Doutorado acadêmico,149
2017,Mestrado acadêmico,428
2017,Mestrado profissional,57
2018,Doutorado acadêmico,204
2018,Mestrado acadêmico,436
2018,Mestrado profissional,169
2019,Doutorado acadêmico,214
2019,Mestrado acadêmico,447
2019,Mestrado profissional,300
2020,Doutorado acadêmico,153
2020,Mestrado acadêmico,358
2020,Mestrado profissional,188
2021,Doutorado acadêmico,154
2021,Mestrado acadêmico,409
2021,Mestrado profissional,213
2022,Doutorado acadêmico,162
2022,Mestrado acadêmico,391
2022,Mestrado profissional,262
2023,Doutorado acadêmico,172
2023,Doutorado profissional,5
2023,Mestrado acadêmico,471
2023,Mestrado profissional,220
2024,Doutorado acadêmico,197
2024,Doutorado profissional,19
2024,Mestrado acadêmico,584
2024,Mestrado profissional,202
