ano,subarea,titulos
1987,CP,23
1987,DEFESA,0
1987,OUTROS,0
1987,PP,0
1987,RI,3
1987,SEGPUB,0
1988,CP,18
1988,DEFESA,0
1988,OUTROS,0
1988,PP,0
1988,RI,6
1988,SEGPUB,0
1989,CP,20
1989,DEFESA,0
1989,OUTROS,0
1989,PP,0
1989,RI,3
1989,SEGPUB,0
1990,CP,28
1990,DEFESA,0
1990,OUTROS,0
1990,PP,0
1990,RI,3
1990,SEGPUB,0
1991,CP,46
1991,DEFESA,0
1991,OUTROS,0
1991,PP,0
1991,RI,11
1991,SEGPUB,0
1992,CP,70
1992,DEFESA,0
1992,OUTROS,0
1992,PP,0
1992,RI,10
1992,SEGPUB,0
1993,CP,31
1993,DEFESA,0
1993,OUTROS,0
1993,PP,0
1993,RI,7
1993,SEGPUB,0
1994,CP,51
1994,DEFESA,0
1994,OUTROS,0
1994,PP,0
1994,RI,11
1994,SEGPUB,0
1995,CP,63
1995,DEFESA,0
1995,OUTROS,0
1995,PP,0
1995,RI,11
1995,SEGPUB,0
1996,CP,63
1996,DEFESA,0
1996,OUTROS,0
1996,PP,0
1996,RI,28
1996,SEGPUB,0
1997,CP,94
1997,DEFESA,0
1997,OUTROS,0
1997,PP,0
1997,RI,24
1997,SEGPUB,0
1998,CP,90
1998,DEFESA,0
1998,OUTROS,0
1998,PP,0
1998,RI,21
1998,SEGPUB,0
1999,CP,91
1999,DEFESA,0
1999,OUTROS,0
1999,PP,0
1999,RI,17
1999,SEGPUB,0
2000,CP,95
2000,DEFESA,0
2000,OUTROS,0
2000,PP,0
2000,RI,21
2000,SEGPUB,0
2001,CP,108
2001,DEFESA,0
2001,OUTROS,0
2001,PP,0
2001,RI,22
2001,SEGPUB,0
2002,CP,91
2002,DEFESA,0
2002,OUTROS,0
2002,PP,0
2002,RI,24
2002,SEGPUB,0
2003,CP,124
2003,DEFESA,0
2003,OUTROS,0
2003,PP,0
2003,RI,59
2003,SEGPUB,0
2004,CP,138
2004,DEFESA,0
2004,OUTROS,0
2004,PP,0
2004,RI,74
2004,SEGPUB,0
2005,CP,185
2005,DEFESA,0
2005,OUTROS,0
2005,PP,0
2005,RI,92
2005,SEGPUB,0
2006,CP,183
2006,DEFESA,0
2006,OUTROS,0
2006,PP,0
2006,RI,100
2006,SEGPUB,0
2007,CP,139
2007,DEFESA,0
2007,OUTROS,0
2007,PP,0
2007,RI,87
2007,SEGPUB,0
2008,CP,147
2008,DEFESA,0
2008,OUTROS,0
2008,PP,0
2008,RI,87
2008,SEGPUB,0
2009,CP,198
2009,DEFESA,0
2009,OUTROS,0
2009,PP,0
2009,RI,85
2009,SEGPUB,0
2010,CP,206
2010,DEFESA,5
2010,OUTROS,0
2010,PP,0
2010,RI,95
2010,SEGPUB,0
2011,CP,218
2011,DEFESA,10
2011,OUTROS,0
2011,PP,0
2011,RI,146
2011,SEGPUB,0
2012,CP,225
2012,DEFESA,19
2012,OUTROS,0
2012,PP,29
2012,RI,143
2012,SEGPUB,0
2013,CP,282
2013,DEFESA,25
2013,OUTROS,10
2013,PP,17
2013,RI,147
2013,SEGPUB,0
2014,CP,243
2014,DEFESA,33
2014,OUTROS,13
2014,PP,47
2014,RI,131
2014,SEGPUB,0
2015,CP,312
2015,DEFESA,31
2015,OUTROS,30
2015,PP,18
2015,RI,150
2015,SEGPUB,0
2016,CP,257
2016,DEFESA,82
2016,OUTROS,28
2016,PP,88
2016,RI,155
2016,SEGPUB,0
2017,CP,301
2017,DEFESA,69
2017,OUTROS,17
2017,PP,50
2017,RI,197
2017,SEGPUB,0
2018,CP,334
2018,DEFESA,109
2018,OUTROS,17
2018,PP,139
2018,RI,210
2018,SEGPUB,0
2019,CP,348
2019,DEFESA,100
2019,OUTROS,30
2019,PP,267
2019,RI,216
2019,SEGPUB,0
2020,CP,268
2020,DEFESA,102
2020,OUTROS,17
2020,PP,136
2020,RI,169
2020,SEGPUB,7
2021,CP,270
2021,DEFESA,117
2021,OUTROS,24
2021,PP,140
2021,RI,188
2021,SEGPUB,37
2022,CP,242
2022,DEFESA,90
2022,OUTROS,20
2022,PP,228
2022,RI,219
2022,SEGPUB,16
2023,CP,298
2023,DEFESA,114
2023,OUTROS,12
2023,PP,207
2023,RI,227
2023,SEGPUB,10
2024,CP,351
2024,DEFESA,127
2024,OUTROS,15
2024,PP,234
2024,RI,261
2024,SEGPUB,14
